post_id,prefix,label,target
5937259_gab,so <number> communist nigger journalist <number> windstorm but trump has caused this,hatespeech,African
3649082_gab,fakebook just suspended me <number> days for insulting rosie odonnell for calling trump mentally insane,hatespeech,Homosexual
21202566_gab,excuse me but those are not people those are niggers 🐒 buffalo nostril shitskin burrheaded knuckle runnin,hatespeech,African
14375005_gab,i see you are friends with the nigger cyph,hatespeech,African
23615794_gab,<user> this ugly kike cunt,hatespeech,Jewish
6175208_gab,ricky vaughn uses his anonymity to say the words nigger and,hatespeech,Homosexual
16878503_gab,<percent> of niggers who get shot by police in america deserve it and should never,hatespeech,African
10904633_gab,yes but queers are too self righteous to let them be included originally the gay and pedophile communities were working,hatespeech,Homosexual
22513839_gab,dad should have told the muzrat whore,hatespeech,Other
13756324_gab,ali became a mudslime to avoid the draft ask his offspring on twatter a few times if daddy ensured,hatespeech,Other
4701852_gab,fanbloodytastic by time these leeches are held to account especially the muzzie scum taking <number> wives breeding kids,hatespeech,Islam
15837704_gab,i probably should have put nsfw on that also not safe for home actually not safe for normal white people how a sheboon,hatespeech,African
15511986_gab,we need to change the priority of the refugee program we will take all white south afrikans pariotic,hatespeech,Islam
24921934_gab,when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little,hatespeech,Jewish
25346039_gab,q what do a nigger and a medium domino pizza have in,hatespeech,African
21573075_gab,and all this butthurt faggotry just makes me,hatespeech,Homosexual
20773435_gab,saint sir adolf was the most lied about person in,hatespeech,Jewish
20187632_gab,white nationalist can you picture a world where your town is white your schools are white your world is white i have a dream that,hatespeech,African
1179014962741743616_twitter,<user> coming from a,hatespeech,Arab
1179062513071218691_twitter,silver medicine in my pants,hatespeech,African
1178184970105446400_twitter,if i followed you and you did not follow back,hatespeech,Homosexual
15239458_gab,whitey prevails for a change miss south africa beats out,hatespeech,African
25948935_gab,his ancestors are rolling in their graves a negress had been,hatespeech,African
18979487_gab,is luke ford on a mission to infiltrate,hatespeech,Jewish
14968030_gab,<user> we work several days out of your year to support the illegals kids and nigger babies in those government schools,hatespeech,African
21290000_gab,<user> agusta main or texes which state you live in tossa people,hatespeech,African
11313761_gab,<user> i could not quit laughing at it yesterday white cucks out in their bass boats risking their lives to save the niggers and mexicans,hatespeech,African
11073228_gab,i am offended because nigger,hatespeech,African
26046364_gab,meet the british nigger bitch,hatespeech,African
18144033_gab,i guess the nigger wasn t around to,hatespeech,African
24772570_gab,this what happens when little adam is,hatespeech,Homosexual
22397098_gab,niggerchomp isnt a chink she,hatespeech,African
25337115_gab,sacrifices must be made i agree screw that,hatespeech,Islam
24096893_gab,lets hope so gas,hatespeech,African
1468975_gab,biggest unforced cultural error of the last few years couple of ugly dykes suing christian bakery for refusing to make them a gay,hatespeech,Homosexual
7727242_gab,all right faggots why is it that our posts bantzing beaners get so much engagement but when,hatespeech,Jewish
1179094068338409473_twitter,<user> <user> notice the,hatespeech,Arab
14357997_gab,shalom aussie goyim my name is gladys berejiklian i call myself an armenian but in fact i,hatespeech,Jewish
11783475_gab,the first white president since were going into skin color now obama,hatespeech,African
15782348_gab,there was no islamic holy violence,hatespeech,African
20719350_gab,if you zoom in real close to the dike with the shaved,hatespeech,Homosexual
19932727_gab,refugees in white homelands are worth more then gold to israel ask trump and any kike truth fears no,hatespeech,Jewish
20126138_gab,you are the epitome of stupidity you could not beat the kike vermin alone last time so this time your goal,hatespeech,Jewish
1178448891009753088_twitter,brown fuck with us,hatespeech,African
1177964576173957125_twitter,watching the rugby game and the entire other team has long,hatespeech,Homosexual
20055328_gab,this yid parasitic bitch should be hanged on the 1 st tall tree that grows in the center of the,hatespeech,Jewish
13565733_gab,is it gonna be you you said they offered to let you be in playboy in the <number> maybe they are,hatespeech,Jewish
16188142_gab,lol at <user> thinks,hatespeech,Jewish
16188198_gab,lol at <user> thinks currynigger monkey cow elephant worshipping streetshitters are taking over the,hatespeech,Asian
22612297_gab,<user> ian timings opinions are only those of a,hatespeech,African
22088480_gab,you are arguably pretty stupid to not recognize that ecological collapse means no,hatespeech,African
21969771_gab,he a jew when it convenient for him and a fellow,hatespeech,Jewish
21752351_gab,folks i do not wana be greedy so today i ama start da same program i had on twitter so,hatespeech,African
15824095_gab,<user> called it hours ago and this kike rat would not reply to my calling him out,hatespeech,Jewish
14252363_gab,<user> i want to,hatespeech,Islam
10716221_gab,the way he sees it is that whites are evil he,hatespeech,African
8621354_gab,christians are commanded to come out and be separate muzzies and christians cannot co exist,hatespeech,Islam
18452027_gab,average white iq <number> average asian iq <number> average african iq <number> nigger they are of inferior stock as they would say,hatespeech,African
1179040376042266630_twitter,sometimes you wanna hit the girl you like up but then you remember,hatespeech,African
16123875_gab,instant mute and creeping,hatespeech,Jewish
23331134_gab,al iaquinta remember this name this,hatespeech,African
1180865_gab,gab fam leaky weiner speak freely if you dont think nigger,hatespeech,African
23208708_gab,nazi is a kike jew term invented by an inbred schizoid kike rat they were called national,hatespeech,Jewish
11989691_gab,while leftie morons suck fascist moslem,hatespeech,Islam
18452832_gab,i know they are trying to commit white genocide but is not the f ing jews but the f ing muslimes that want to,hatespeech,Islam
15813856_gab,i got thrown out of some fancy hotel on hollywood blvd a few minutes ago because i told the valet nigger where he could,hatespeech,African
10938753_gab,when i was like <number> i used a stick to wipe a wet dog turd,hatespeech,African
27698974_gab,of course this muzrat actually looks like a rat is trying to cause trouble the brexit marchers will be,hatespeech,Men
1178739925073747974_twitter,<user> you mean the,hatespeech,African
1927923_gab,cant wait to form a rightwingdeathsquad ™ with a,hatespeech,African
20492081_gab,god dam these nigger,hatespeech,Women
24416711_gab,<number> and me is a kike company they,hatespeech,Jewish
14436416_gab,khan can suck the shit off the syphilitic dicks of his moslem pedo brothers uk cops can lick,hatespeech,Islam
27493631_gab,to much same sex semen gulping mohammedans stone queers to death mohammedans throw queers,hatespeech,Homosexual
19456053_gab,apples and oranges you said you liked a paki and loved a,hatespeech,African
9658057_gab,last week i ate at a new hipster bbq restaurant and heard the most god awful nigger noise ever blaring,hatespeech,African
11003094_gab,as a full blown gas the kike nazi,hatespeech,Jewish
1178387062795505664_twitter,<user> to hell with,hatespeech,Caucasian
19112164_gab,fuck her she nothing but a kike that will,hatespeech,Jewish
19204201_gab,i discovered <number> quarters of whats,hatespeech,Islam
19817414_gab,god will not bless the republican party who bans christians including,hatespeech,Homosexual
16210558_gab,the iranian regime has a mosque in my home town thousands of miles from,hatespeech,Jewish
17536576_gab,oprah is an affirmative action piece,hatespeech,African
1270742_gab,<user> it will not matter to the great leaders of this country bobama killary,hatespeech,Islam
1178642248004751365_twitter,that not a compliment a compliment is you are sexy you turn me,hatespeech,Homosexual
1178762446271582209_twitter,i ask jim how to steal a pop socket from target,hatespeech,Disability
4982372_gab,liberals are votewhoring pukes enabling the moslem invasion since the 7 0 p.e. trudeau m cult biling policies allowed quebec to fast track immigrants,hatespeech,Islam
7603245_gab,since jews have tried to exterminate white it seems only right that every single jewish girl have a nigger for,hatespeech,African
26107989_gab,the chimp virgin nigger can not spell australian,hatespeech,African
23154870_gab,4 chan humour a mexican and a nigger,hatespeech,African
14832083_gab,good night family god bless remember every muscum wants us dead but god is our savior this ha all been foretold,hatespeech,Islam
4650392_gab,president trump should not recieve kike netanyahu either and should not acknowledge,hatespeech,Jewish
21347847_gab,i had it out with that moon guy,hatespeech,Asian
17929392_gab,<number> <number> salute brother its the the truth and nothing but the truth,hatespeech,Jewish
14110630_gab,i am surprised twitter did not promote the nigger that did this,hatespeech,African
24209216_gab,<number> week ban wot game chat ban for saying,hatespeech,Asian
13912847_gab,i am a nigger,hatespeech,African
27869091_gab,she deserved it for race mixing looks like a quadroon tho,hatespeech,African
25340676_gab,boy scouts and girl scouts have really been good for american youth brownies is the girls club,hatespeech,Homosexual
24214744_gab,who pussy would be better anne coulter or laura ingrahm both would be good to talk nasty to when,hatespeech,African
15356923_gab,this will only get worse in germany there is only one way to solve it germany will have to deploy troops to areas,hatespeech,Islam
24033780_gab,sorry mate my comment was more so,hatespeech,Jewish
21937906_gab,fuck the hell out of new orleans nothing but,hatespeech,African
22752944_gab,i have never liked netflix netfux so i am cancelling my subscription will buy movies elsewhere and never go to amazon another usa trump hater,hatespeech,African
12475012_gab,free weev we need another ruby,hatespeech,Jewish
18548237_gab,he shows his wetback hating colors see you are a,hatespeech,Islam
1179074562870386688_twitter,this fat faggot id such,hatespeech,Homosexual
16535198_gab,let masha and the bitches,hatespeech,Other
23169645_gab,idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring <number> <number> mildly,hatespeech,Other
27299725_gab,merkel is a moron and an east german communist who loves muzzies more,hatespeech,Islam
1178372631722110978_twitter,<user> well that the primary reason but it mostly supported by the,hatespeech,African
25489107_gab,to the gallows with this,hatespeech,Homosexual
25855002_gab,a jew did not tell the truth some kike sympathizing cuck shilled,hatespeech,Jewish
9976857_gab,racist nigger tariq nasheed was crying about white supremacy working,hatespeech,African
21453585_gab,you have only shown that morals do not matter to,hatespeech,African
19052532_gab,toody you liying nigger,hatespeech,African
1178764934294970368_twitter,<user> you all need to take,hatespeech,African
12151236_gab,white people need to start caring about their own kind instead of bending over backwards,hatespeech,African
24728249_gab,kim kardashian is a,hatespeech,African
12444134_gab,nothing regarding any nigger at school or in the work sector is based on merit you fuckers get special treatment,hatespeech,African
15762396_gab,welfare is a kike scam to enable niggers like you to sponge off of the system it was pushed upon the country unwillingly and,hatespeech,African
27150859_gab,holy shit the ugly,hatespeech,Jewish
18585602_gab,i give a fuck in that i am,hatespeech,African
10959978_gab,the british welfare state filthy mudshark uses uk taxpayer money to buy a horse to help her cope with depression after,hatespeech,African
14035101_gab,non white and kike we are coming for,hatespeech,Jewish
24021724_gab,should be a public hanging using a short drop that way the body jerks in the breeze sends,hatespeech,African
17945117_gab,california demograph spics <percent> beaner <percent> white <percent> asian <percent> nog,hatespeech,Hispanic
22967436_gab,the kike shill psyop ricky vaughn has deleted his post where he stated white identity does,hatespeech,Jewish
14316860_gab,oo i had no idea it could get even better yes,hatespeech,African
14714692_gab,<user> ay yo what my favorite island nigger up to today out,hatespeech,African
13929673_gab,look how the nigglets are,hatespeech,African
23637308_gab,monday kike nigga kike tuesday nigga kike nigga wednesday kike nigga kike thursday nigga kike,hatespeech,African
13261438_gab,the bbc are in mourning as the death of moslem,hatespeech,Islam
14913457_gab,i did not mention genitalia obviously you,hatespeech,African
18990407_gab,more kike lies could not even find his body yet those cocksmokers tell,hatespeech,Jewish
9053284_gab,they average more in cali with the feeding,hatespeech,African
1089761766823940097_twitter,gonna get some nasty ass niggers,hatespeech,African
10733286_gab,god damned kike whore cunt so sure that none of,hatespeech,Women
17016811_gab,dirty kike we have to gas,hatespeech,Jewish
13329120_gab,that sarah press <user> the,hatespeech,Jewish
18517477_gab,<number> hours remaining of my <number> day ban on twitter my next move is to completely overwhelm,hatespeech,Jewish
1178765633162485760_twitter,everyone wants to be nct everyone the entirety of kpop,hatespeech,African
1178398958030209024_twitter,in my arms by alex,hatespeech,Homosexual
1178852220424445952_twitter,<user> a rag makes,hatespeech,Islam
13076830_gab,met police terror attack in london quick lads arrest anyone who gives a moslem a dirty look search twitter for,hatespeech,Islam
22913175_gab,and just like you she is a welfare whore with a passel,hatespeech,Homosexual
12933032_gab,why do we allow any moslem filth brought here to begin with we have a right,hatespeech,Islam
20856410_gab,we should ship guns to europeans so they can purge the filthy scum that was brought upon,hatespeech,Islam
20344700_gab,trump playing 4 d chess or,hatespeech,Jewish
17098984_gab,who gives a shit about the kneeling nigger football league not me their hero and,hatespeech,Islam
15275145_gab,clearly the libtard ground wale found a nigger to screw her probably the only time in her life she ever got laid how,hatespeech,Women
22627863_gab,probably cos you have had the moslem clit clip your pussy sowed up,hatespeech,Islam
26349453_gab,as fully vested members of the same grisly club you can always count on the queers to side with,hatespeech,Homosexual
15036536_gab,beat it asshole i have already,hatespeech,Jewish
19384911_gab,like someone said would not it be a hoot if a,hatespeech,Homosexual
17529758_gab,could someone explain to me why this kike is typing like a nigger i mean is,hatespeech,Jewish
26476649_gab,the enemy is the jew do not take your eye off the target,hatespeech,Jewish
23069299_gab,dude you are a fucking idiot skepticism nihilism and trying to,hatespeech,Jewish
19089112_gab,no because the nigger word should only be used,hatespeech,African
14995491_gab,hey <user> how about stormer women rally and take this nigger raping,hatespeech,African
15990140_gab,all high level bolsheviks were <percent> kosher the only russians involved were low level,hatespeech,Jewish
12470828_gab,meet the jew brainwashed nigger who brought down the nfl by trying to,hatespeech,African
22368593_gab,what you think tomorrow the world will wake up,hatespeech,African
20435759_gab,apparently this nigger does not,hatespeech,African
13104004_gab,london mayor suckdiq kahn has,hatespeech,Islam
9747099_gab,🎶 o the white man worries 🎶 but the nigger do not care 🎶,hatespeech,African
18123734_gab,there is a mental health question with jeb if he needed to marry a,hatespeech,Hispanic
22124962_gab,i do not do it all the time sometimes,hatespeech,Jewish
15730351_gab,ira because i cannot get behind christians killing christians without fellow white people involvement especially considering the,hatespeech,African
1178120616467161089_twitter,grown ass men doing women activities and lil faggot boys taking,hatespeech,Homosexual
11632794_gab,some fuckin kike does not,hatespeech,Jewish
24549572_gab,vote conservative if you do not want a nigger for,hatespeech,African
1178852316176424960_twitter,<user> y are you talking to me,hatespeech,Other
1178251992801533952_twitter,mohammad bin salman al saud ordered the bone sawing of an american journalist i said only thing i wanna see or hear from,hatespeech,Arab
1179056260169134082_twitter,<user> <user> facts lol that,hatespeech,Other
19159387_gab,lmfao the retardedness yo actually stabbing a fucking real kike is not larping you,hatespeech,Jewish
3824396_gab,<user> they put the a in the one,hatespeech,Hispanic
6578482_gab,niggers im calling it nigger day on gab huwhite folks should,hatespeech,African
24015059_gab,that a fair point junkies are self medicating i offer support,hatespeech,Women
22061834_gab,people with talent something,hatespeech,Islam
1178790620896354310_twitter,how the fuck did that nigger,hatespeech,African
1178775205319188481_twitter,<user> i will call my friends,hatespeech,African
1178749845886164993_twitter,<user> hahaha and that nigger has someone thinking they should,hatespeech,African
1178741111650537472_twitter,<user> look at that,hatespeech,African
1178358437522137089_twitter,<user> am telling you my queen this niggers can make,hatespeech,African
15705858_gab,following on from the other socialist tory pm the equally useless europhile traitor,hatespeech,Islam
12208265_gab,stupid meme delete now dont you dare put a,hatespeech,Jewish
15805378_gab,well i apologise for any ozeez that might have forgotten that we can take the piss but go too hard and somethings amiss i do find,hatespeech,Islam
18488208_gab,reports that georgia is turning,hatespeech,African
23323165_gab,free speech yet he banned for his speech pretty gay if you ask me,hatespeech,Jewish
18044506_gab,are you seriously backing that,hatespeech,Hispanic
10034563_gab,people that think that they have a personal relationship with talk to a fictional kike pervert pacifist on,hatespeech,Jewish
18235429_gab,i do not just hate kikes,hatespeech,Jewish
6367052_gab,check out the mussie bitch walking by on the,hatespeech,Islam
26580731_gab,meanwhile an entire company gets shutdown for diversity training because two coons decided to,hatespeech,African
18860123_gab,on a bus not one single english person plus one coon,hatespeech,African
15919557_gab,has the half nigger,hatespeech,African
22222578_gab,<user> ‍ the jews are controlling my weather again i am a,hatespeech,Jewish
15165556_gab,if u freinds wit a jew or nigger,hatespeech,African
7093626_gab,aw what wrong nigger you do not like,hatespeech,African
15380388_gab,more than <number> percent of children in the united states will be obese by age <number> if current trends,hatespeech,African
11094794_gab,so fucking sick of that,hatespeech,Jewish
26905576_gab,but bakers can not turn down a,hatespeech,Homosexual
25925813_gab,i have not once used a single kike source for anything the fact that you automatically assume that anybody who disagrees with herodotus is,hatespeech,Jewish
21206689_gab,also the nigger she boon niglet generators ebt medicare public,hatespeech,African
13216290_gab,abandoned by his father makes shitty music narcissistic degenerate will probably,hatespeech,African
17263820_gab,male prostitution in pakistan is huge most pakis have had sex with other men pakistani muslim men,hatespeech,Islam
1178891409484468225_twitter,some girls going around exposing ppl aib,hatespeech,Asian
11311147_gab,we have had a muzzie problem since,hatespeech,Islam
1632755_gab,i wonder how long until they can get,hatespeech,African
1178798868508659714_twitter,white washed asians are so stuck up,hatespeech,Asian
8888588_gab,well well niggers and beaners are,hatespeech,African
15675442_gab,this <number> yr old nigger conyers retired today after a gazillion years of groping women and,hatespeech,African
23211318_gab,actually you are just another stupid fucking nigger with a big mouth and a porous brain nobody worthy,hatespeech,African
10399732_gab,disgusting maga you see this shit currynigger and race traitor attempting,hatespeech,Indian
7756008_gab,two questions <number> how did you get a picture of my,hatespeech,Jewish
14277483_gab,i would say that the majority of shitty whites that behave like that are living under a kike enforced degenerate rule that celebrates the,hatespeech,African
8039584_gab,part and parcel of living in a,hatespeech,Islam
25905133_gab,are we really this stupid as a species europe is turning into a muzzie infested,hatespeech,Jewish
26721459_gab,this is a really interesting excerpt from planet faggot but back on the real world it pretty obvious you are a kike shill trying,hatespeech,Jewish
1179103428745875459_twitter,there now i tweeted squaw and nigger,hatespeech,Other
21560468_gab,new program on the ce called life sentence a white woman dating a muslim at least,hatespeech,Islam
26036690_gab,here your options <number> chase down and handcuff some gross naked nigger and put it in,hatespeech,African
27952077_gab,<user> remember the api access i am still waiting also i,hatespeech,African
26910410_gab,so it ok to dox a,hatespeech,Jewish
13146695_gab,you are in the grip of meme malware,hatespeech,Islam
24495529_gab,mudshark sunglasses to go,hatespeech,Women
16750798_gab,color me shocked just,hatespeech,Jewish
26085254_gab,when you have shitskin 3 rd worlders who do not believe,hatespeech,Economic
1178941622815526912_twitter,my baby blunt smoking bitch,hatespeech,African
23631407_gab,gutmenschen probleme ich würde einen moslem niemals in meine wohnung,hatespeech,Islam
21814284_gab,that happened when you allow,hatespeech,Jewish
8394773_gab,ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po <happy>,hatespeech,African
13359217_gab,ha good i am,hatespeech,Hispanic
11994307_gab,in bk watching a nigger try to get free food i had come here yesterday and akst fa a chicken sahwits and it wunt,hatespeech,African
22491010_gab,it truly is amazing how you reject a girl once and she starts,hatespeech,Islam
21996673_gab,we wasn t being nice enough is the reason why pakistani moslem,hatespeech,Islam
27856202_gab,another nigger dead probably,hatespeech,African
19137586_gab,obozo troll hiding under that tree,hatespeech,Islam
21509608_gab,i will bet if some nigger went ape shit on crack you,hatespeech,African
25934380_gab,nope not even remotely,hatespeech,Jewish
23377953_gab,match <number> a nigger wins a championship match <number> a nigger wins the battle royal,hatespeech,African
10695236_gab,paul ryan is a nigger loving degenerate and he going to eat the curve,hatespeech,African
15972271_gab,we need to go back and beat them and i mean hard so hard that the muzzies are,hatespeech,Islam
22741145_gab,gb turned into an faggoty and muzzie orwellian shithole on lizzie watch,hatespeech,Islam
13908244_gab,chad makes all kinds,hatespeech,Jewish
14576064_gab,those rights were not even made for you they were made by white people for white people whoever thought it was,hatespeech,African
18969876_gab,i know this one i was browsing twitter and saw this very kike had been caught lying that,hatespeech,Jewish
23925837_gab,egyptians worshipped crocodile gods,hatespeech,African
14864489_gab,one thing you can count on are the beaner men,hatespeech,Hispanic
8525524_gab,if the refugees say they are children arrest the libtard swede women for statutory rape either,hatespeech,Islam
1179065075539292160_twitter,found that psychopath guilty bitch want have to worry about texting gone,hatespeech,Women
1178991165670137856_twitter,<user> more good news a swede last name ends in son running in minnesota 5,hatespeech,Arab
13049396_gab,it painfully clear why mudslime,hatespeech,Islam
22355751_gab,this lil yid pig should be sued by the <number> million he fucked over with their info and strip,hatespeech,Jewish
7020770_gab,zuckerberg loves live streamed violence such as gang rapes the pitiful jew cunt,hatespeech,Hispanic
16070530_gab,<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger,hatespeech,African
22484190_gab,if he does something useful i was,hatespeech,African
6042008_gab,i look at the mudslime news from europe and think i wish some goat fucker would try that shit,hatespeech,Islam
24156664_gab,i do not know it does not matter anyway i only have <money> but i would jump into a,hatespeech,African
19840172_gab,catch a nigger by his toe,hatespeech,African
16119996_gab,i hope a nigger sneaks into his room and rapes him,hatespeech,African
17963658_gab,spiderman thread street shitter storm fag snow flakes free speech rules all praise,hatespeech,African
13858043_gab,that aperp post beating or a a,hatespeech,Women
21988766_gab,this kind of nigger crap pisses me,hatespeech,African
13606830_gab,what does this nigger know about growing up irish catholic in boston niggers and kikes pretend we whites bully and oppress our women,hatespeech,African
12907285_gab,i like how the jew is losing so its using a fat nigger to,hatespeech,African
11498486_gab,divide you are a fucking spic rapists,hatespeech,Hispanic
20906157_gab,i think it is because you are full of shit and refuse to budge on,hatespeech,Jewish
6031137_gab,lol actually my reply was a sarcastic comment,hatespeech,Islam
1179035441854443520_twitter,white devils like it i am drinking,hatespeech,Caucasian
27577045_gab,wat they think ima white coon i,hatespeech,African
22876409_gab,what worse than a subaru full of niglets,hatespeech,African
1178723245211734016_twitter,<user> according to police the suspect sean bell was also in violation of,hatespeech,Caucasian
19159665_gab,imagine thinking you are not in a race war already all this anti white propaganda the media spits out,hatespeech,African
5168535_gab,i am not how many people are away of george webb it states at day <date> they are amazing it watching real crime story,hatespeech,African
13265405_gab,i am a proud nsdap member nazi was a,hatespeech,Jewish
4089019_gab,a nigger arguing against racism is,hatespeech,African
11133060_gab,lol seriously you think an employed person can say nigger lol i meant,hatespeech,African
11778438_gab,a mentally ill low iq nigger goes full retard after,hatespeech,African
1178340656357486593_twitter,<user> you all always,hatespeech,Homosexual
16926021_gab,you are going to die alone surrounded by shitskin nurses,hatespeech,African
8423955_gab,kathy griffin is the ultimate liberal attack somebody and suffer consequences and she is,hatespeech,Women
16900165_gab,as a white male i am not allowed to call a nigger a nigger even though a nigger is allowed to,hatespeech,African
8089543_gab,they would be cracking,hatespeech,African
24569252_gab,it was another muzrat terrorist attack do,hatespeech,Islam
17096206_gab,since the day pak muslims set foot in the uk they have been raping white children young white lads defended their females,hatespeech,Islam
3525836_gab,watching <number> minutes and the lawlessness of nigger hood rats the,hatespeech,African
27822098_gab,sad story to be sure on a side note some guys should not ever wear tank tops how does any,hatespeech,African
15500373_gab,beat a guy from bejing in the world,hatespeech,Asian
8725240_gab,holy fuck is gab filling up with moslem loving retards seems to,hatespeech,Other
1179105689186242561_twitter,god of israel is,hatespeech,Homosexual
20219963_gab,that because those tv students are jewish actors as is sheriff,hatespeech,Hispanic
16613274_gab,by the number of beaners in the background i,hatespeech,Hispanic
15544962_gab,who said that breeders can not be fighters contrary to what scheming kikes will tell you good women still exist and men can be,hatespeech,Jewish
10225304_gab,wearing out their welcome on planet earth,hatespeech,Islam
20710962_gab,that britain new fab four then a jew,hatespeech,African
19530127_gab,tl dr tradthot nigger lover is,hatespeech,African
1178948343394967552_twitter,like and i had to the hedgehog would fuck,hatespeech,African
22683065_gab,what do you think is more,hatespeech,African
1178930175112691713_twitter,<user> <user> another pakistani jihadi,hatespeech,Islam
15263357_gab,when asked what prince phillip thought about harry and megan he answered i have,hatespeech,African
