post_id,label,target,text,prefix,suffix
5529774_gab,hatespeech,Homosexual,yet when a couple of filthy dykes want you to pander to their sins as you see them you must comply by law time to start organizing for yourselves no one else is gonna do it for you,yet when a couple of filthy dykes want you to pander to their sins as you see them you,must comply by law time to start organizing for yourselves no one else is gonna do it for you
24977683_gab,hatespeech,Islam,lol that why i wear them i have had many confrontations with the pos muzzies and black panther scum,lol that why i wear them i have had,many confrontations with the pos muzzies and black panther scum
10504469_gab,hatespeech,Jewish,reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a magistrado which is like a high court judge so they were richer than most of the other students families,reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a,magistrado which is like a high court judge so they were richer than most of the other students families
20659618_gab,hatespeech,Hispanic,damn dat wetback needs to strap in those moobs,damn dat wetback needs,to strap in those moobs
14564271_gab,hatespeech,Jewish,i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night 😉,i tire with you all day same just blah blah blah kike you will,see it a dream cheese puff boy go bed it a school night 😉
1174145333212930049_twitter,hatespeech,African,you niggers need to sack up and tweet nigger,you niggers need to,sack up and tweet nigger
17827276_gab,hatespeech,Islam,that is the muzrat strategy in every country they infest,that is the muzrat strategy,in every country they infest
18743549_gab,hatespeech,African,sorry about the nigger comment but even blacks do not like niggers,sorry about the nigger comment but,even blacks do not like niggers
23463421_gab,hatespeech,African,nd only <percent> nigger but jewish culture should be taken into account here thanks jews,nd only <percent> nigger but jewish culture,should be taken into account here thanks jews
1178780987049889794_twitter,hatespeech,African,this nigger calling me juicy lips over the phone wtf,this nigger calling me juicy,lips over the phone wtf
1178503399962300416_twitter,hatespeech,African,i hate fucking niggers,i hate,fucking niggers
1178477971960672257_twitter,hatespeech,African,you all niggers are cancers,you all,niggers are cancers
1178382366080950276_twitter,hatespeech,African,man i hate niggers,man i,hate niggers
26478596_gab,hatespeech,Asian,hop sing no jew yes but i bet they looked for a jew to play his part then came to conclusion we can not find a jew that will fit the role okay let us get a gook at minimum wage,hop sing no jew yes but i bet they looked for a jew to play his part then came to,conclusion we can not find a jew that will fit the role okay let us get a gook at minimum wage
1117488989362098177_twitter,hatespeech,African,this nigger just saved the uk,this nigger just,saved the uk
15801100_gab,hatespeech,African,microchip has had more nigger cocks in him than a kfc urinal in chicongo on mlk day 😎,microchip has had more nigger cocks in him than,a kfc urinal in chicongo on mlk day 😎
4105410_gab,hatespeech,African,god bless james earl ray putting down that nigger mlk to save all those white girls from his rapist cock maga,god bless james earl ray putting down that nigger mlk,to save all those white girls from his rapist cock maga
1178854367929106432_twitter,hatespeech,African,fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick,fucking ulgly ass bitch ass stinky ass bitch ass nigger,slave nigger teacher faggot peace of shit suck a dick
1178799354737565697_twitter,hatespeech,African,god made the niggers he made them in the night he made them in a hurry and forgot to paint them white,god made the niggers he made them in the night he,made them in a hurry and forgot to paint them white
23018207_gab,hatespeech,Jewish,you are next kike,you are,next kike
25902138_gab,hatespeech,Islam,the muzzies and black churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their 5 0 1 c3 status,the muzzies and black churches have always been given a pass this primarily helps conservative churches that,have been silent on political issues out of fear of losing their 5 0 1 c3 status
18721090_gab,hatespeech,Islam,the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm,the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number>,million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm
15885342_gab,hatespeech,Arab,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying,europe also include the traitors who support the destruction of our people and our ancestral homelands white power
10945897_gab,hatespeech,Islam,it a moslem terrorist tactic attack the women then attack the men when they come to help like when a first explosion will cause casualties a secondary explosion will cause more casualties the medical responders and onlookers stay safe always help carry and conceal,it a moslem terrorist tactic attack the women then attack the men when they come to help like when a first explosion,will cause casualties a secondary explosion will cause more casualties the medical responders and onlookers stay safe always help carry and conceal
27513034_gab,hatespeech,African,that his sister sheboon friend melissa is apparently dating some blonde dude,that his sister sheboon friend melissa,is apparently dating some blonde dude
22676555_gab,hatespeech,Jewish,lol get a load of this kike,lol get a,load of this kike
9831315_gab,hatespeech,African,pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances,pls call this coon out for the of impoverished blks living on he brink while,he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances
1178571782313463810_twitter,hatespeech,Caucasian,<user> bernardo is just a white honky,<user> bernardo is,just a white honky
26418398_gab,hatespeech,Asian,the chink salivates as the salamander cries out in extinction,the chink salivates as the,salamander cries out in extinction
1179012930681085952_twitter,hatespeech,African,<user> you need potassium eat a banana you fucking nigger,<user> you need potassium eat,a banana you fucking nigger
1163163689027022851_twitter,hatespeech,African,honestly man most of you guys are nigger faggots,honestly man most of,you guys are nigger faggots
17464469_gab,hatespeech,African,ah shit i forgot a sheboon stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything,ah shit i forgot a sheboon stole an idea from a white person and made god a black woman,how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything
15481820_gab,hatespeech,African,make the word nigger great again make racial slurs great again my dad told us bedtime stories w bad guys jip the jap jigaboo jones his mom my german grandmother w german accent always called blacks darkies jews jewish shysters <user> pc terminology is part of the brainwashing,make the word nigger great again make racial slurs great again my dad told us bedtime stories w bad guys jip the jap jigaboo,jones his mom my german grandmother w german accent always called blacks darkies jews jewish shysters <user> pc terminology is part of the brainwashing
22358188_gab,hatespeech,Islam,do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,do not worry uk you worked hard cannot afford carehome fees we take your house oh look in,london another muzzie family in a nice flat good on you where the tex goes its a shocker
20448576_gab,hatespeech,African,a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick,a negress too dumb to fuck has a scant,chance of understanding anything beyond the size of a dick
20317635_gab,hatespeech,Jewish,fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk,fuck what this kike cunt has to say only thing she is good,for is sticking a cock down her throat so she can not talk
1178668370209771522_twitter,hatespeech,Refugee,why are we having all these people from shithole countries coming here,why are we having all these,people from shithole countries coming here
19206277_gab,hatespeech,Jewish,the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea,the only rationale i can see for trump not firing prosecuting rosenstein,is that now that little kike is in his pocket bad idea
24241045_gab,hatespeech,Islam,people are getting pissed about the evil muzrat cult and gov t complicity,people are getting pissed about the,evil muzrat cult and gov t complicity
20179103_gab,hatespeech,Homosexual,angry bald dyke,angry,bald dyke
15724226_gab,hatespeech,Homosexual,if you really want to jack up the gay msm cognitive dissonance we need to see more dindu on homo violence episodes drop leaflets on chicago splaining that gays are fond of carrying fat rolls of cash one day the media queers will all wake up in a log cabin with questions,if you really want to jack up the gay msm cognitive dissonance we need to see more dindu on homo violence episodes drop leaflets on chicago,splaining that gays are fond of carrying fat rolls of cash one day the media queers will all wake up in a log cabin with questions
4321340_gab,hatespeech,Jewish,<user> lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish,<user> lets see what they will do to the smelly kike who composed that tweet,and whose name is visible in the photo the world awaits his lynching with relish
27652218_gab,hatespeech,Jewish,i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn <user> is a degenerate diversity kike hiding behind patriotism i am not so easily fooled,i have found another degenerate who is pushing smut on gab not a joke he is actually promoting,smut and porn <user> is a degenerate diversity kike hiding behind patriotism i am not so easily fooled
1081082371913465861_twitter,hatespeech,African,this is the year you all get r kelly the fidduck out of here sick of that nigger,this is the year you all get r kelly,the fidduck out of here sick of that nigger
14549463_gab,hatespeech,African,i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist,i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and,run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist
1178763845369597952_twitter,hatespeech,African,you niggers blow my mind,you niggers,blow my mind
16135672_gab,hatespeech,African,the nigger is a true snake charmer,the nigger is,a true snake charmer
1178864197884616704_twitter,hatespeech,Arab,<user> <user> <user> <user> kick that raghead out of america,<user> <user> <user> <user> kick,that raghead out of america
15730084_gab,hatespeech,African,nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a nigger turned inside out neither can ever be satisfied if you give a jew your teeth he will want your eyes too,nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a,nigger turned inside out neither can ever be satisfied if you give a jew your teeth he will want your eyes too
10618535_gab,hatespeech,Islam,you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable,you guys in germany and us men here in america too we are,gonna have to man up and be crusaders this musloid bullshit is totally unacceptable
16877029_gab,hatespeech,African,the nigger problem,the,nigger problem
25693725_gab,hatespeech,African,wonder which nigger i bullycided was giving you the dick lol now i have to deal with widows great,wonder which nigger i bullycided was giving you the,dick lol now i have to deal with widows great
13362012_gab,hatespeech,Islam,rapture theology tightly interwoven with ideas about the rebirth of israel has inoculated nearly every non mainline protestant denomination against anti semitism meanwhile the mainlines have been infiltrated and are currently obsessed with muzzies and trannies xianity has collapsed,rapture theology tightly interwoven with ideas about the rebirth of israel has inoculated nearly every non mainline protestant denomination,against anti semitism meanwhile the mainlines have been infiltrated and are currently obsessed with muzzies and trannies xianity has collapsed
25637354_gab,hatespeech,African,joy reid the token nigger used by msnbc to stupid to realize it,joy reid the token nigger used,by msnbc to stupid to realize it
27903408_gab,hatespeech,Islam,your muzrat gov t will never allow brexit,your muzrat gov t,will never allow brexit
5937259_gab,hatespeech,African,so <number> communist nigger journalist <number> windstorm but trump has caused this terrible wave of hate apparently almighty trump controls both the weather bernie supporters,so <number> communist nigger journalist <number> windstorm but trump has caused this,terrible wave of hate apparently almighty trump controls both the weather bernie supporters
3649082_gab,hatespeech,Homosexual,fakebook just suspended me <number> days for insulting rosie odonnell for calling trump mentally insane it was worth the <number> days you are still a man hating fat dyke rosie lol,fakebook just suspended me <number> days for insulting rosie odonnell for calling trump mentally insane,it was worth the <number> days you are still a man hating fat dyke rosie lol
21202566_gab,hatespeech,African,excuse me but those are not people those are niggers 🐒 buffalo nostril shitskin burrheaded knuckle runnin spear chucking welfare monkey spaboolie spook coon moolie niggers 😑 niggers make me fucking sick 😡 😡 😡,excuse me but those are not people those are niggers 🐒 buffalo nostril shitskin burrheaded knuckle runnin,spear chucking welfare monkey spaboolie spook coon moolie niggers 😑 niggers make me fucking sick 😡 😡 😡
14375005_gab,hatespeech,African,i see you are friends with the nigger cyph who gives a fuck what you think muted dude,i see you are friends with the nigger cyph,who gives a fuck what you think muted dude
23615794_gab,hatespeech,Jewish,<user> this ugly kike cunt keeps showing up on my timeline,<user> this ugly kike cunt,keeps showing up on my timeline
6175208_gab,hatespeech,African,ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol,ricky vaughn uses his anonymity to say the words nigger and,faggot without repercussions and so many people on gab love it lol
16878503_gab,hatespeech,African,<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,<percent> of niggers who get shot by police in america deserve it and should never,be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops
10904633_gab,hatespeech,Homosexual,yes but queers are too self righteous to let them be included originally the gay and pedophile communities were working together nambla was started by gay men who liked boys now all subsets of pedophiles are members assuming nambla still exists,yes but queers are too self righteous to let them be included originally the gay and pedophile communities were working,together nambla was started by gay men who liked boys now all subsets of pedophiles are members assuming nambla still exists
21544944_gab,hatespeech,Islam,the muzrat trash call everyone a racist,the muzrat trash,call everyone a racist
22513839_gab,hatespeech,Other,dad should have told the muzrat whore to fuck off and went in anyway,dad should have told the muzrat whore,to fuck off and went in anyway
13756324_gab,hatespeech,Other,ali became a mudslime to avoid the draft ask his offspring on twatter a few times if daddy ensured her genitals were mutilated in accordance with mudslime law and why no burqua was worn but received no answer,ali became a mudslime to avoid the draft ask his offspring on twatter a few times if daddy ensured,her genitals were mutilated in accordance with mudslime law and why no burqua was worn but received no answer
4701852_gab,hatespeech,Islam,fanbloodytastic by time these leeches are held to account especially the muzzie scum taking <number> wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏,fanbloodytastic by time these leeches are held to account especially the muzzie scum taking <number> wives breeding kids,like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏
15837704_gab,hatespeech,African,i probably should have put nsfw on that also not safe for home actually not safe for normal white people how a sheboon manages to lose all her clothes during a fight is a mystery that i am not going to watch again to solve <happy>,i probably should have put nsfw on that also not safe for home actually not safe for normal white people how a sheboon,manages to lose all her clothes during a fight is a mystery that i am not going to watch again to solve <happy>
15511986_gab,hatespeech,Islam,we need to change the priority of the refugee program we will take all white south afrikans pariotic britains frenchies germies swedes etc persecuted christians let the invaders finish their countries full of muzzrats liberals off,we need to change the priority of the refugee program we will take all white south afrikans pariotic,britains frenchies germies swedes etc persecuted christians let the invaders finish their countries full of muzzrats liberals off
24921934_gab,hatespeech,Jewish,when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot,when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little,brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot
25346039_gab,hatespeech,African,q what do a nigger and a medium domino pizza have in common a they both can not feed a family of <number> <user>,q what do a nigger and a medium domino pizza have in,common a they both can not feed a family of <number> <user>
15186957_gab,hatespeech,African,good riddance to bad nigger garbage,good riddance to,bad nigger garbage
21573075_gab,hatespeech,Homosexual,and all this butthurt faggotry just makes me want to join twp to spite you queers,and all this butthurt faggotry just makes me,want to join twp to spite you queers
20773435_gab,hatespeech,Jewish,saint sir adolf was the most lied about person in history for financial political and kike reasons alt right history lesson,saint sir adolf was the most lied about person in,history for financial political and kike reasons alt right history lesson
20187632_gab,hatespeech,African,white nationalist can you picture a world where your town is white your schools are white your world is white i have a dream that one day i can live in a white world where little whites kids play with other white kids and the nigger is back in africa,white nationalist can you picture a world where your town is white your schools are white your world is white i have a dream that,one day i can live in a white world where little whites kids play with other white kids and the nigger is back in africa
1179014962741743616_twitter,hatespeech,Arab,<user> coming from a rag head no less,<user> coming from a,rag head no less
1179062513071218691_twitter,hatespeech,African,silver medicine in my pants skrt this nigger ass clap,silver medicine in my pants,skrt this nigger ass clap
1178184970105446400_twitter,hatespeech,Homosexual,if i followed you and you did not follow back fuck you i got suspended if you did not know faggots,if i followed you and you did not follow back,fuck you i got suspended if you did not know faggots
15239458_gab,hatespeech,African,whitey prevails for a change miss south africa beats out a nig two spics and a gook to win miss u,whitey prevails for a change miss south africa beats out,a nig two spics and a gook to win miss u
25948935_gab,hatespeech,African,his ancestors are rolling in their graves a negress had been added to the royal line therefore ending it royal wedding heritage uk,his ancestors are rolling in their graves a negress had been,added to the royal line therefore ending it royal wedding heritage uk
18979487_gab,hatespeech,Jewish,is luke ford on a mission to infiltrate the altright to prove his kike conversion bona fides,is luke ford on a mission to infiltrate,the altright to prove his kike conversion bona fides
20705631_gab,hatespeech,Jewish,better to kill the kike first,better to kill,the kike first
14968030_gab,hatespeech,African,<user> we work several days out of your year to support the illegals kids and nigger babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,<user> we work several days out of your year to support the illegals kids and nigger babies in those government schools,which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions
21290000_gab,hatespeech,African,<user> agusta main or texes which state you live in tossa people want to catch up with you are you scared little nigger or what,<user> agusta main or texes which state you live in tossa people,want to catch up with you are you scared little nigger or what
11313761_gab,hatespeech,African,<user> i could not quit laughing at it yesterday white cucks out in their bass boats risking their lives to save the niggers and mexicans seriously fuck those cucks fuck the brown people and fuck all the non texans who have moved in there oh and fuck the nigger mayor,<user> i could not quit laughing at it yesterday white cucks out in their bass boats risking their lives to save the niggers and mexicans,seriously fuck those cucks fuck the brown people and fuck all the non texans who have moved in there oh and fuck the nigger mayor
11073228_gab,hatespeech,Jewish,i am offended because nigger faggot kike spic chink gook cracker,i am offended because nigger,faggot kike spic chink gook cracker
26046364_gab,hatespeech,African,meet the british nigger bitch princess criminal trash family 🤣,meet the british nigger bitch,princess criminal trash family 🤣
18144033_gab,hatespeech,African,i guess the nigger wasn t around to pez her so she wised up and jumped,i guess the nigger wasn t around to,pez her so she wised up and jumped
24772570_gab,hatespeech,Homosexual,this what happens when little adam is way smarter than his fat dyke lib teacher,this what happens when little adam is,way smarter than his fat dyke lib teacher
22397098_gab,hatespeech,African,niggerchomp isnt a chink she a white american dog 😡,niggerchomp isnt a chink she,a white american dog 😡
25337115_gab,hatespeech,African,sacrifices must be made i agree screw that newport smoking fatass mudshark and her ugly mama too,sacrifices must be made i agree screw that,newport smoking fatass mudshark and her ugly mama too
24096893_gab,hatespeech,African,lets hope so gas the lot including the nigger,lets hope so gas,the lot including the nigger
1468975_gab,hatespeech,Homosexual,biggest unforced cultural error of the last few years couple of ugly dykes suing christian bakery for refusing to make them a gay wedding cake any potential wedge between trump and the religious right was healed then and there nice work ladies trumpslide meme war maga,biggest unforced cultural error of the last few years couple of ugly dykes suing christian bakery for refusing to make them a gay,wedding cake any potential wedge between trump and the religious right was healed then and there nice work ladies trumpslide meme war maga
7727242_gab,hatespeech,Jewish,all right faggots why is it that our posts bantzing beaners get so much engagement but when we take the piss out niggers and kikes you all get so silent all of a sudden,all right faggots why is it that our posts bantzing beaners get so much engagement but when,we take the piss out niggers and kikes you all get so silent all of a sudden
1179094068338409473_twitter,hatespeech,Arab,<user> <user> notice the towelhead music in the background,<user> <user> notice the,towelhead music in the background
1178842469858824192_twitter,hatespeech,Other,that redneck stuff damn hillbilly ppl,that redneck stuff,damn hillbilly ppl
14357997_gab,hatespeech,Jewish,shalom aussie goyim my name is gladys berejiklian i call myself an armenian but in fact i am a ratfaced kike looking to implement communism in your country do you like my gallah beak,shalom aussie goyim my name is gladys berejiklian i call myself an armenian but in fact i,am a ratfaced kike looking to implement communism in your country do you like my gallah beak
11783475_gab,hatespeech,African,the first white president since were going into skin color now obama was the first nigger president lets return to the good old times,the first white president since were going into skin color now obama,was the first nigger president lets return to the good old times
15782348_gab,hatespeech,African,there was no islamic holy violence prior to <number> retard slav nigger,there was no islamic holy violence,prior to <number> retard slav nigger
22086860_gab,hatespeech,Jewish,depeche kike personal hitler remastered video,depeche kike personal,hitler remastered video
20719350_gab,hatespeech,Homosexual,if you zoom in real close to the dike with the shaved head you will notice that she has the pupils of a serpent,if you zoom in real close to the dike with the shaved,head you will notice that she has the pupils of a serpent
19932727_gab,hatespeech,Jewish,refugees in white homelands are worth more then gold to israel ask trump and any kike truth fears no investigation they are low wage workers which will destroy america labor market but you still vote for this goyim,refugees in white homelands are worth more then gold to israel ask trump and any kike truth fears no,investigation they are low wage workers which will destroy america labor market but you still vote for this goyim
20126138_gab,hatespeech,Jewish,you are the epitome of stupidity you could not beat the kike vermin alone last time so this time your goal is wait for it to fight the kike vermin alone again and lose again you have the strategic sense hitler did moron,you are the epitome of stupidity you could not beat the kike vermin alone last time so this time your goal,is wait for it to fight the kike vermin alone again and lose again you have the strategic sense hitler did moron
1178448891009753088_twitter,hatespeech,African,brown fuck with us dick no fuckin this nigger,brown fuck with us,dick no fuckin this nigger
1177964576173957125_twitter,hatespeech,Homosexual,watching the rugby game and the entire other team has long hair this feels antithetical to the dyke ethos of it all,watching the rugby game and the entire other team has long,hair this feels antithetical to the dyke ethos of it all
20055328_gab,hatespeech,Jewish,this yid parasitic bitch should be hanged on the 1 st tall tree that grows in the center of the city to all to see and learn that yids are beasts of the field and not allowed to exist with humans,this yid parasitic bitch should be hanged on the 1 st tall tree that grows in the center of the,city to all to see and learn that yids are beasts of the field and not allowed to exist with humans
13565733_gab,hatespeech,Jewish,is it gonna be you you said they offered to let you be in playboy in the <number> maybe they are not ready for a kike whose make up makes her look like a neanderthal painted up as a shemale rodeo clown <user>,is it gonna be you you said they offered to let you be in playboy in the <number> maybe they are,not ready for a kike whose make up makes her look like a neanderthal painted up as a shemale rodeo clown <user>
16188142_gab,hatespeech,Jewish,lol at <user> thinks he a dothead kike lol,lol at <user> thinks,he a dothead kike lol
16188198_gab,hatespeech,African,lol at <user> thinks currynigger monkey cow elephant worshipping streetshitters are taking over the world lol currynigger you re just riding the white mans dick thank u come again,lol at <user> thinks currynigger monkey cow elephant worshipping streetshitters are taking over the,world lol currynigger you re just riding the white mans dick thank u come again
21037896_gab,hatespeech,Jewish,showa time for this fucking kike,showa time for,this fucking kike
22612297_gab,hatespeech,African,<user> ian timings opinions are only those of a nigger cock sucker therefore they are invalid <number> kk,<user> ian timings opinions are only those of a,nigger cock sucker therefore they are invalid <number> kk
22088480_gab,hatespeech,African,you are arguably pretty stupid to not recognize that ecological collapse means no food your chances of survival dramatically decreases this is nigger level shortsightedness right here,you are arguably pretty stupid to not recognize that ecological collapse means no,food your chances of survival dramatically decreases this is nigger level shortsightedness right here
21969771_gab,hatespeech,Jewish,he a jew when it convenient for him and a fellow white person when thats more convenient just like literally every other kike,he a jew when it convenient for him and a fellow,white person when thats more convenient just like literally every other kike
21752351_gab,hatespeech,African,folks i do not wana be greedy so today i ama start da same program i had on twitter so here it is da first nigger who can retweet dis go win a free cup of shit to eat ok go,folks i do not wana be greedy so today i ama start da same program i had on twitter so,here it is da first nigger who can retweet dis go win a free cup of shit to eat ok go
26830977_gab,hatespeech,African,another nigger lover bites the dust,another nigger lover,bites the dust
15824095_gab,hatespeech,Jewish,<user> called it hours ago and this kike rat would not reply to my calling him out either part time shit tier jidf making some extra shekels lol they are not sending their best yet,<user> called it hours ago and this kike rat would not reply to my calling him out,either part time shit tier jidf making some extra shekels lol they are not sending their best yet
14252363_gab,hatespeech,Islam,<user> i want to punch trudeau then those muslimes,<user> i want to,punch trudeau then those muslimes
10716221_gab,hatespeech,African,the way he sees it is that whites are evil he is at war with whites sall good he rich now nigger rich,the way he sees it is that whites are evil he,is at war with whites sall good he rich now nigger rich
8621354_gab,hatespeech,Islam,christians are commanded to come out and be separate muzzies and christians cannot co exist as muzzies just want to kill everybody all the time so somebody has got to go,christians are commanded to come out and be separate muzzies and christians cannot co exist,as muzzies just want to kill everybody all the time so somebody has got to go
