post	target	implied_statement
1up  are you seriously calling tucker carlsonna white supremacist ? you are way losing all credibility here  my friend . what are you trying to accomplish ? 1 ) spread hate & division among races  or 2 ) make america a better place for all children to grow up in and thrive ?	whites	whites are racists
please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands	white people	White people need to unite.
she's another jew promoting adl / splc . she assisted in having jihad watch	Jews	Jews are bad.
the genocide of white america : 1980-2010 via	white people	White people are dying out.
whites are not allowed to work for their group interests .	non-white people	non-white people are coddled
#howtospotafeminist their favorite colour isn't white .	feminists	Feminists hate white people.
inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites	non-white people	non-white people want to replace white people
he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women	non-white	Non-white people are rapists.
#gop can explicitly be the party of white christian america or it will die . it would rather die . #tcot	non-white people	non-white people are a threat
i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?	white people	White people aren't paying attention.
no state has the right to redefine #marriage or allow labs to manufacture offspring of same-sex couple . tell congress to enact #nmra	Gays	Gays are abnormal
poor snowflake white man . :(	white people	White people are snowflakes.
why do hate crime laws only apply to white people ?	Minorities	Minorities have double standards
it's us white gentiles getting screwed ! :	white people	White people are disadvantaged.
just another jewish think-tank with a paradoxical name . has nothing to do with heritage at all .	Jews	Jews are devious
so you believe it is wrong for a white man to defend his own race ? do you believe that it i	non-white people	non-white people are a threat
" cuck is the new  "" racist "" "" or soon will be """	Conservatives	Conservatives are racists.
racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt	Muslim immigrants	Muslim immigrants assault whites
what's happening in south africa is awful and not one news station covers it	media	media biased against South Africans
: white people need to watch their backs . there is a war upon us .	Minorities	Minorities are wiping out the white race
white skin is dominant phenotypically  last i heard . it's only socially that if you're not full-white you're considered tainted .	Minorities	Minorities are less than whites
using the enemy's anti-white hate propaganda . #wpww	non-white people	non-white people are oppressors
yup . race is real & we're not concerned with your race or other races . we are concerned with white growth & population .	People of color	People of color are inferior to white people
" why ? when black pride / hispanic pride / asian pride / muslim pride / jewish pride / even  "" gay "" "" pri """	gay people	gay people want special treatment.
the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .	Black people	Black people are lazy
the people leaving usa becuz racist trump all want canada  new zealand  never mexico  nigeria . who racist ?	Whites	Whites are racists
i take pro-white perspective . thats where the battle lines are now drawn . you guys wanna re	Minorities	Minorities are second class races.
why do liberals ignore the black elephant in the room ? the ability of black people to own firearms and gun violence in inner cities #nra	Blacks	Blacks are violent and dangerous
i wonder if every white person investigated today including potus is because he is white . in today's world being white is crime unto itself	white people	White people should be investigated.
" why do muslims have a  "" jew hate gene "" "" ? """	Muslims	Muslims hate Jews
" rt white student union  "" offensive "" ""  but anti-white student union is welcome at toronto | more : """	white people	White people are oppressed.
the white race we must talk for its beginning about 4 millions and 900000 years ago as the first race . so the red and then the black	Minorities	Minorities are third class races.
hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel	migrants	Migrants are rapists.
no repentance for f-ing j * * * tweet ! finally ended gops endless paeans to israel . coulter gets results ! ! !	Israelis	Israelis get special treatment from GOP.
weev dared to tweet about the survival of god forbid white children . he immediately gets called a white supremacist .	white people	White people can't say what they are thinking.
racist old white guys are the only thing standing between you and extinction . #learntoloveus	old white men	Old white men are racist.
i really only care about preserving white countries .	white people	White people should survive.
the people hate the gop . don't worry  charlottesville was just the beginning . we're growing extremely fast .	Minorities	Minorities are inferior to whites
white presidents only .	white people	Only white people should be president.
if you want to get better join the aryan race	non-white people	non-white people are inferior
you're a white man  frank . you're automatically a fascist to these people . perhap	Minorities	Minorities are prejudiced
justine damond  this immigrant running around an alley at night  barely dressed  charging our cops  banging their car . claims she heard a noise in the alley . really ? so she went out at night to see ? #bluelivesmatter hooker arguing w / her john . noor kept us safe . #philandocastile	Immigrants	Immigrants are criminals
but thats deceptive bcuz not all pigmentated people fail . is it african ethnic groups ? is it a tribal mentality ?	Black people	Black people are unsophisticated
" an author of many anti-white books : who organizes the  "" white privilege conference "" "" ? a #jew  of course . ; """	Jews	Jews are subversive
white devil books	white people	White people are evil.
yes  unless you're not white and you're trying to silence all [ white ] opposition .	Minorities	Minorities oppress whites
you only think you're a winner because of olive-skinned people . get a life  loser	Middle-Easterners	Middle-Easterners are substandard people
" some #liberal extremists actually believe a thing called  "" white privilege "" "" exists in america  when in #fact the opposite is true . #tlot """	Progressives	Progressives are ignorant
though all white men & women r not jews all jews  white men & women  i'm white man & jew.ur not even a man or woman !	Jewish people	Jewish people consider themselves better than white people despite being white
they also founded america as a white country  and would stand with th	Minorities	Minorities are second class citizens.
the genocide in south africa where whites are being brutally massacred by blacks is race war . the blacks there are power hungry ...	Blacks	Blacks are brutal and savage killers.
white lives are important !	white people	White people are important.
hungarian politicians protesting against invasion ! hungary is the only normal country in europe + visegrad group	Immigrants	Immigrants want to take over
the most disgusting of anti-whites do thatuse extreme racism against whites against them because it increases the reaction by 5 % or similar	non-whites	Non-whites don't like white people.
our cities were actually livable when they were run by those ebil racist white soopremacists	white people	White people are racist.
he told the world : the immortal words of adolf hitler ( video ) via	Minorities	Minorities are inferior races
philip girladi interview  jewish americans pushing wars via	Jewish people	Jewish people are violent and trying to take over the world
oh yeah while some alt-right cuck says ' staahpp  we supp	Conservative males	Conservative males are impotent and weak
milo boasts about getting railed for 18 hours by his black boyfriend . he bathes in blood . that's terrible optics in the south	black people	Black people are bad.
the california gop convention is under siege by protesters with mexican flags	Latinos	Latinos in the US are not patriotic
bill warner  phd : moderate muslims cannot save us #foxnews #cnn #abcnews #kafir	Muslims	Muslims are radicals
whites who're true to themselves and their people .	white people	White people understand white people.
very happy to hear this ; gives heart to all nationalists who oppose #whitegenocide	Minorities	Minorities are in favor of killing whites.
think for yourself for a change . i bet you think blm and antifa are peaceful .	BLM	BLM is full of hate.
white antifas are going to have to live by there creed . they need to enjoy multicultural america .	White Antifa members	Enjoy a multicultural America.
you're like prewhites  not quite white .	People of color	People of color are inferior because they are not white
whites need to gtfo of africa while they still can	white people	White people need to leave Africa.
white nationalism has no place in this country . it never will .	Whites	Whites are separatists
lincoln should of let the south go now we have a ridicuolously divided country	white folks	whites are racists
how do you explain the thousands of incidents of white on white domestic violence per year ? interracial dating ?	white people	White people don't like other white people.
" unbelievable hate-filled insanity to suggest it is somehow  "" wrong "" "" for a nation to protect its people from rape / murder / genocide """	Immigrants	Immigrants are savage criminals.
propaganda photo to make white people appear humiliated . sorry  not applicable here .	white people	White people shouldn't be sorry.
white genocide	Minorities	Minorities are looking to wipe out white culture.
" rt :  "" i want to do jihad ... it is written in the koran that you are allowed to kill infidels as you would kill a dog . "" "" """	Muslims	Muslim people can kill others.
- poland is looking to protect its people.muslims bring with them the baggage of islam . this poses a potential threat .	Muslims	Muslims are threatening
girl bright and early this morning the crazy racist white folks are acting up	white people	White people are racist.
#sodomybasedmarriage & racist israel has more public support than white people advocating for basic human rights .	Jews	Jews are given special privilege
nope  but ' racist ' is the new n word for white people .	White people	White people are racists
what she really means is your white  allah will judge you  and non-believers have no morality . ;) :	non-believers	Non-believers aren't moral.
"  "" white privilege conference "" "" says resisting jihad is racist  bashes robert spencer and pamela geller - - we respond """	white people	White people are privileged.
: sen rejects o .. claim that legalizing illegal immigrants will help economy #illegalimmigration	Illegals	Illegals don't contribute to society.
the choice is clear white folks : multiracial democracy or white nationalism ? #donaldtrump is our chance 2 choose . pick and prepare to fight	non-white people	non-white people are inferior
black  hispanic  gay  trans  asian  not a white student union  it's why conservatism is useless  they watched as the left destroyed whiteness	Democrats	Democrats have destroyed white people and their identity
the white #workingclass is the most oppressed demographic in the #unitedstates - #wakeup #fightback	non-white people	non-white people are oppressors
the difference between third world countries and america is the people . think about that a minute . #trump2016 #hillary2016	Third world citizens	Third world citizens are substandard
thanks for putting this picture up i'm a white male in south africa we are murdered in our houses becuz were white	Minorities	Minorities kill whites
jewish harvard professor noel ignatiev wants to abolish the white race via	Jews	Jews want white genocide
" video : head of oslo jewish community claims norway is  "" too white "" "" via """	Jewish people	Jewish people don't like white people.
" rt : in america any group of organized whites is going to be called  "" nazis "" "" regardless of their optics . """	non-white people	non-white people are a threat
america was founded in the principle of white supremacy chrome dome ( and there's nothing wrong with that )	non-white people	non-white people are less valuable
a future for white children ! in the same fashon as hitler youth  who were given the great honor of dying for hitler ! seig heil ! amen !	minorities	minorities are inferior
i don't want to move anywhere . i want to keep britain and america white .	white people	white people rightfully own britian and america.
former black ou football player pimps his former white ou cheerleader girlfriend for $ 200 via	black people	Black people are pimps
" and after they are done fighting the other muslims ? they come after us .  "" do some reading "" "" ! ! """	Muslims	Muslims are violent.
it goes way deeper than skin . racial iq  k / r selection  evolutionary psychology  etc .	Minorities	Minorities are inferior
milo literally said he lost his virginity when he was 15 in a 5some.poz af .	Homossexuals	Homossexuals are perverted
you expect them to tolerate anti-white terrorists ?	whites	anti-white terrorism
come on  hedd ! you know white people arent allowed to identify and associate based on race ! only blacks  asians  jews and mestizos can do that ! we have to help all people ! even if they hate our guts ! its almost as if were called upon to be better than them ...	Minorities	Minorities hold double standards for whites
they need to lead the army in there and arrest anyone with gang tats  clothes  illegal fir	Minorities	Minorities are violent gang members.
the #us #education system discourages critical thinking skills . hence the ignorant hate that persists against #hitler & national-socialism .	Minorities	Minorities are subpar races
indonesia : muslim smiles and screams allahu akbar as he gets 10 - year sentence for jihad massacre via	Muslims	Muslims are violent murderers
" you brought up race . i didn't . you claimed our pro-freedom ads were  "" racist . "" "" it's "" "" racist "" "" to resist jihad terror ? """	Muslims	Muslims are terrorists
4 / the government of south africa is about to seize the land of the white minority . they are launching a real white genocide	Blacks	Blacks are annihilating white culture
: nobody will take white identity seriously if you yell muh jew for every issue . we need to talk about how gr	Minorities	Minorities are inferior.
der spiegel : the mystery of the forest swastikas | full story :	Minorities	Minorities are subpar races.
: there it is in black and white . are muslims blind that they cannot see this ?	Muslims	Muslims are stupid.
britain sees race war brewing between non-white invaders | read more :	People of color, immigrants	People of color, immigrants are invading Britain and beginning a race war
it's statues now . eventually it will be calls to ban vanilla ice cream  white bed sheets  and to denounce snow as racist . insanity .	Minorities	Minorities want to destroy white culture
anti-racist activist raped by non-white illegal immigrant after attending anti-racism festival | read more :	non-white immigrants	Non-white immigrants are racist.
had delhi not voted for & his party by now he would hv been in jail on charges of getting foreign funds from isi for anarchy	Indians	Indians are corrupt thieves.
obama to announce amnesty in las vegas . no better place to gamble away our countrys future . #noamnesty #trueimmigrationreform #vegas	immigrants	immigrants are a threat to the country.
" the  "" holocaust "" "" is so bogus . #freehorstmahler """	Jews	Jews are liars.
your wrong and the white guilt agenda you push is what woke me . must suck to not even know your actions are not of your own  but socially engineered . now dance robot	white people	White people are guilty.
74 % of terrorist attacks in the us come from you - us nazis and white supremacists / christi	Neo Nazis and white supremacist	Neo Nazis and white Supremacists are terrorists
because jews meddle too much  white christians gave 60 + million lives	Jews	Jews are always in other people's business.
- mosloms call us racist  i am starting to think they should be classified that way  as a race  not a religion .	Muslims	Muslims are bigots
4396 white murderers  5375 black murderers . all the while blacks are 13 % of the country's population .	black people	Black people kill more than white people.
jews push 4immigration and white genocide :	Jews	Jews advocate for an end to whites.
your hate for others gives me the strength to join and be proud to be a white male again .	white people	White people should be proud of their races.
and the fact that there were more white slaves in the middle east than black slaves in america	Arabs	Arabs are hypocrites
tell us will you be practicing sharia gender segregation ? illegal .	Muslims	Muslims disrespect women
black people have never formed a civilized society on their own without the help of white people .	Black people	Black people are unintelligent
where's ' jewish council ' aka statement on mb spiritual leader qaradawi edict to ummah :	Jews	Jews are cowards
white people seemingly are the only truly altruistic ethnic group . ive seen more white people help complete strangers and animals with zero reciprocity.for a society bent on white genocide they would fall apart without us ..	non-white people	non-white people are selfish
whites kill for white supremacy terroristic ideology . highest body count	white people	White people are terrorists.
this is a white identitarian group silly  no parasites here	Minorities	Minorities are subpar
either tn or kentucky would work . georgia has too much atlanta in it  if'n you know what i mean .	Blacks	Blacks degrade society
blacks are shot by police in proportion to the number of stops . whites are murdered by blacks dispropor	Blacks	Blacks murder whites
" >  "" scared white men "" "" this is what you sound like . """	white men	white men are scared
this is antifa . zog will take anyone to fight for greater israel	Jews	Jews are devious
if black dysfunction is an indicator of institutionalized white supremacy  it appears cities get more white supremacist as they get blacker .	Blacks	Blacks are incapable of leadership
#whitepeople are the most hated & oppressed group in the us  yet the majority of whites have done nothing but shrug and change the channel .	Whites	Whites are weak and ineffective.
give me a break sly . whites did build this country . nothing wrong with that . the more we ar	Minorities	Minorities are ineffectual and unskilled.
elder  you must be a white supremacist ... love your stuff .	Minorities	Minorities are inferior races.
infiltrator black politician wants anti-white ethnic cleansing in estonia | read more :	Blacks	Blacks advocate for white slaughter
millions of africans every year leave lands controlled by blacks to live in lands controlled by whites . come on  man	white people	White people control blacks.
he is also a black racist . dont forget that .	black people	black people are racist.
murdering thugs were black he is white so no news or hate crime here . such godless hypocrisy !	black people	Black people are thugs.
" jewish activist on tv show says   "" low white birth rate a good thing "" "" | read more : via """	Jewish people	Jewish people don't like white people.
" rt the  "" intolerant "" "" hindus r happiest ? """	Hindus	Hindus are prejudiced
mt . any religion is better than islam . #tcot #bansharia #banislam	Muslims	Muslims have a bad religion.
fuhrer was a genius ; see his analysis : adolf #hitler explains	Minorities	Minorities are subhuman
just polishing my horns and infiltrating shitlib forums because all the good alt-right o	Liberals	Liberals are substandard people
since when were the welsh _not_ white ?	Welsh people	Welsh people are not white.
" soon they will be asking  "" how can remaining whites integrate into dutch muslim mainstream culture "" "" """	Immigrants	Immigrants want to displace natives
why should we preserve the white race just because of its minority status ?	whites	whites hide behind their social position
anti-racist activist raped by non-white illegal immigrant after anti-racism festival | read more : via	Illegals	Illegals are vicious and brutal
four adopted children  not a single one white . what kind of self-loathing and / or white savior complex causes that ?	white people	White people don't like themselves.
poor white people = = = > via	white people	white people are poor
jews are not white .	Jews	Jews are not white people
#istandfordiversity because the white race already has all the diversity it needs . we don't need mass immigration . join ! !	Immigrants	Immigrants are inferior.
all immigration of non whites should be ended . this melting pot historical period isn't relevant for these times .	non-white immigrants	Non-white immigrants should stay in their country.
they fear the white . they know what we can do .	white people	White people are dangerous.
jews run banking  media  academia  and govt ; you're the dummies .	Jews	Jews control the world
see shucking and jiving for the white man is paying off	black people	Black people work for the white man.
" rt what if white americans were in media outlets constantly writing things like  "" jewish race must be abolished "" "" or "" "" jewishprivilege must end "" "" ? """	Jews	Jews hate white people.
build the wall . #maga	immigrants	Immigrants shouldn't come into America.
hillary * white lion awakeningwhite might !	non-white people	non-white people are enemies
#nohateappstate - ( ( ( who ) ) ) told him white people are evil ? - black guy talks about racism	white people	White people are evil.
i dont need a group to tell me that whites should be revered or preserved or protected or special ... im not afraid of being replaced	white people	White people are special.
white pride worldwide hooded sweatshirt very via	white people	White people are superior.
because white people don't need diversity . it is only a weakness to us .	white people	White people don't like diversity.
taught from preschool . taught white boys are racist and brown is ok .	Blacks	Blacks mislabel whites
i already answered this . why are you denying racial iq and evolutionary psychology / biology ?	Black people	Black people have low IQ
" i hate to break to you  but hey all you  "" white "" "" and "" "" black "" "" people ? you are the immigrant . have a great day . """	Whites and Blacks	Whites and Blacks are ignorant
yes we don't to be invaded my wife is white blonde and 2 mexican girl are trying to get her fired by saying she called them racist to hr	Mexicans	Mexicans are liars
what about the white illegal immigrants ?	Whites	Whites are illegals also
rape  beatings  murders aren't just for black men and women by white men . they beat white women too . and  white women hate you	white women	white women hate blacks
is it true that they are going to shoot white people nov 4th ?	Minorities	Minorities are violent towards whites.
i howl at all the white doing the die in in ferg.they think they not bigots .	Whites	Whites are racists
they've been hating for 1400 + years it tells th to do so in the quran and hadiths if you care to read up	Muslims	Muslims are hateful
will the white oppression never cease !	non-white people	non-white people are oppressors
" are you a white person who is apathetic about  "" white genocide "" "" or think it is just a conspiracy theory ? watch this video & wake the fu * k up ! """	white people	White people don't care.
white men not allowed unemployment in ohio  funneled to black mafia members . women have no basic human rights .	black people	black people are dishonest.
" alt-right efforts ought be focused on one reachable goal . return to pre - ' 65 laws is doable  coz these  "" happy days "" "" law's effects are known . """	Black people	Black people are inferior
" ur profile calls for  "" reduced immigration "" "" . why not just say what u really are ? white bigot who wants 2 keep america white . """	Whites	Whites hate other races.
the left would literally rather a white man murder 700 people  than see any other race be found guilty of jay walking . it's pathetic .	white men	White men are murderers.
how dare people of european decent want their civilisation to live on & flourish ! ! so unreasonable !	Minorities	Minorities are hypocrites
this is what daca protects . #nodaca #buildthewall #deportillegals	illegal aliens	Illegal aliens should be deported.
lol you're jewish though . not white .	Jews	Jews are not white
lahore was a beautiful city dominated by sikhs and hindus ... we lost it ...	Muslims	Muslims banishes Non-Muslims
lmao ... it's always the jews who stage these so called hate crimes ...	Jews	Jews are evil.
: dr . david duke : will the white race survive ? via	Minorities	Minorities are substandard
" there are very few  "" white supremacists "" "" in charleston . there are more blm racist activists than any other extremist group . """	Blacks	Blacks are bigoted.
many people don't want to wake-up . they don't want to believe the peril europe is in .	Immigrants	Immigrants are destroying Europe
roger milliken and the gop civil war via #paleocon #cuckservative #greed #gopsmartset	Conservatives	Conservatives are greedy.
this jew is lying . western civilization is white civilization .	Jews	Jews are dishonest.
" what is an  "" amrcn "" "" doing with an ' isrli counter terror agt ? ' well .. once a jew always a jew .. very clannish ! ! """	Jewish people	Jewish people are bad.
: let's be a white resister : because the beauty of white aryan woman must not perish from the earth ...	white women	White women are superior to other raced women.
anyone who doesnt agree with liberal agenda is racist . so i guess your a racist  you dont agree with me . #noamnesty	anti-liberals	Anti-liberals are racists.
" call them  "" anti white "" "" cause that is what they are ! #whitegenocide """	non-whites	Non-whites don't like white people.
" rt also these crazy nazis came out after weeks of people saying to  "" kill all white people "" "" "" "" white people should be extinct "" "" they want a war """	non-whites	Non-whites want to kill white people.
since they're white  i guess they're just misunderstood .	white people	White people are misunderstood.
i think that separatism is a guise for race war . this white collective is out of rational fear . 1/2	white people	White people are scared of other races.
american indians are asiatic mongrels  they have no claim to america or the 1st world nation whites built on top of it	Indians	Indians are bad.
not to mention jews are listed as whites  so the white per capita number is already distorted ...	Jews	Jews are lower than whites.
a racist any white man who is winning an argument with a #liberal  a #conservative  a #libertarian  or a #jew .	white people	White people are racists.
what race is jihad mass murder again ? #savage you are true racist scum of the lowest gutter .	Muslims	Muslims want to kill non-believers.
" rt : #greggpopovich says white people should be more  "" uncomfortable "" "" and admit their white privilege . as a black man i call hi """	white people	White people are scared of black people.
white power company : power to our people via	white people	White people are better than other races.
germany is hitler - hitler is germany !	Germans	Germans believe in Hitler.
this is the best get out of jail free card cucks have . every time trump governs like obama it's actuall	Conservative males	Conservative males are frail and delicate
race relations in us is managed by a thin veneer of civility and doesn't take much to expose truth . blacks hate your white guts	Blacks	Blacks are racists
is breitbart now more radically pro-white than the occidental observer ? via	Conservatives	Conservatives are anti-minority.
"  "" the jew as a parasite "" "" ( ( ( glyptapanteles ) ) ) """	jewish people	jewish people leach off others
black people aren't our enemies either . they're being exploited just as much by the jews .	Jews	Jews are devious
what a national socialist america will do for the white american worker ! #nationalsocialism #nationalism	white nationalists	White nationalists only care about white people.
oh yeah real nice  keep the borders open for god sake . this is disgusting . we need our borders shut !	immigrants	Immigrants shouldn't be allowed into the country.
this selfie is so white  i love it .	Minorities	Minorities are less than whites
new york : sicilian terrorist / governor andrew cuomo prepares to purge nyc of all confederate tributes via	Italians	Italians are prejudiced
nationalist front to host white lives matter rally in middle tennessee via white is beautiful  ! !	Minorities	Minorities are subpar
" white guilt is coming into play with white players wanting to look  "" woke "" "" and black players supporting him just because he's black ! """	Blacks	Blacks promote white self-hatred.
anglin has provided a platform for dehumanizing white women and his fan	Minorities	Minorities degrade whites
' holocaust ' debate / comments / news jews created fake jewish graves : now this is an eye opener  especially ...	Jews	Jews embellish their oppression
look american ! ! just few years ago those polish people was used to clean our cars window glasses in the streets in italy	Polish people	Polish people are low class
that guy wt black beard is lying on national tv	Muslims	Muslims are liars
" rt national review : white working class towns  "" deserve to die "" "" via """	Minorities	Minorities want to exterminate white culture
" you can't  "" unify "" "" with people who have been actively trying to kill / replace you and your history """	Immigrants	Immigrants want to replace natives
uk universities to ban feminists and conservatives to avoid offending muslims	Intellectuals	Intellectuals pander to Muslims
" rt trump's  "" make america white christian again "" "" here is the proof #kkk """	Whites	Whites are racist bigots.
you have no right to diversify white countries to satisfy your personal preference .	People of color	People of color are trying to take over traditionally white countries
and we see how well desegregation helped white people ... now they are statistically more likely to victimized by a black ...	Black people	Black people are violent
it's funny how many triggered liberals there are in the comments . anti-white buffoons .	liberals	Liberals are sensitive.
diversity means less white	Minorities	Minorities are destroying white culture.
" if you're white  you don't need to  "" join "" "" anything . your skin is your uniform . have white children and teach the our culture """	white people	White people need to teach their kids their culture.
very important american #nazi party report : #politics #freedom #14words	Minorities	Minorities are substandard
they really need to watch out for antifa . antifa may have hidden weapons under clothing as	Antifa	Antifa carry weapons.
lots of white folks losing their illusions about the race #ferguson	white people	White people don't understand race.
white countries are being colonized across the globe which will make white culture and societies impossible . war by demographics .	Immigrants	Immigrants want to displace natives
" and what are  "" white interests "" "" . enumerate them . ( i am probably not "" "" interested "" "" in them . ) """	Minorities	Minorities dismiss white's rights.
unless you're of coloror gay  or ... not white	Minorities	Minorities are substandard.
white people built everything in this country.maintaining the white race is the key to a further existence of a civilized society .	whites	whites are superior
jews and white nationalism go together like fire & diarrhea . #tcot #cuckservative	Jews	Jews are not like white nationalists.
why is india  a hindu majority nation  being expected to house the very rohingya terrorists who are killing hindus in myanmar ?	Rohingyas	Rohingyas are violent aggressors
hey how's pallin around with hate group leader / white supremacist ?	white people	White people are hateful.
the end of a myth : most new serial killers in america are not white males | more : via	non-white people	non-white people are dangerous
i had no idea they were going after white people so aggressively & violently .	Minorities	Minorities are barbarous and hostile
hunter we are taught white history every day . white pride is all about taking down people of color . that's shameful .	whites	whites are racists
we hindus offer lord krishna's package to muslims--give us 3 temples and keep 39997 masjids . i hope muslim leaders don't become duryodhans	Muslims	Muslims are violent
instead  all white people are in obama's race database ...	Blacks	Blacks are targeting whites.
a nationalist only cares about the interests of his own people  not some abstract daydream of idiot savants	Minorities	Minorities are stupid
