ID	target	implied_statement
915785026461106176	Minorities	Minorities are wiping out the white race
919860642420482048	Minorities	Minorities are less than whites
253090267832389632	non-white people	non-white people are oppressors
876627511458881536	People of color	People of color are inferior to white people
901274477513895937	gay people	gay people want special treatment.
841327560789172224	Black people	Black people are lazy
796865466245353472	Whites	Whites are racists
913483100226699264	Minorities	Minorities are second class races.
281122160150466560	Blacks	Blacks are violent and dangerous
888029976976556032	white people	White people should be investigated.
560658222433185797	Muslims	Muslims hate Jews
644596803342626819	white people	White people are oppressed.
579068752668467200	Minorities	Minorities are third class races.
750337769520582657	migrants	Migrants are rapists.
727171698945064962	Israelis	Israelis get special treatment from GOP.
598903288432435200	white people	White people can't say what they are thinking.
699750297560879104	old white men	Old white men are racist.
875595429739544576	white people	White people should survive.
916134738951147520	Minorities	Minorities are inferior to whites
722940559736721409	white people	Only white people should be president.
454082550751719424	non-white people	non-white people are inferior
822989353836281856	Minorities	Minorities are prejudiced
946668532036595713	Immigrants	Immigrants are criminals
514431947032911874	Black people	Black people are unsophisticated
347876233557704704	Jews	Jews are subversive
908911703139680256	white people	White people are evil.
931963291999592449	Minorities	Minorities oppress whites
889610317097050112	Middle-Easterners	Middle-Easterners are substandard people
201017137668698113	Progressives	Progressives are ignorant
293580107300343808	Jewish people	Jewish people consider themselves better than white people despite being white
916507763282341888	Minorities	Minorities are second class citizens.
188308299324731394	Blacks	Blacks are brutal and savage killers.
916548687479955456	white people	White people are important.
745834690075066371	Immigrants	Immigrants want to take over
916415417144496128	non-whites	Non-whites don't like white people.
856893544312786945	white people	White people are racist.
829370256133074944	Minorities	Minorities are inferior races
917391418032836609	Jewish people	Jewish people are violent and trying to take over the world
903844031041593344	Conservative males	Conservative males are impotent and weak
826672614118715392	black people	Black people are bad.
726128316084838400	Latinos	Latinos in the US are not patriotic
774041959090442240	Muslims	Muslims are radicals
921117968641220608	white people	White people understand white people.
442150187016785920	Minorities	Minorities are in favor of killing whites.
924277232767524864	BLM	BLM is full of hate.
918922735044116480	White Antifa members	Enjoy a multicultural America.
734233802835300352	People of color	People of color are inferior because they are not white
933120977092927489	white people	White people need to leave Africa.
897920912103620608	Whites	Whites are separatists
861831595988324352	white folks	whites are racists
888863796948865025	white people	White people don't like other white people.
823196622540546048	Immigrants	Immigrants are savage criminals.
826057300771270656	white people	White people shouldn't be sorry.
925003267263918085	Minorities	Minorities are looking to wipe out white culture.
358992147602604033	Muslims	Muslim people can kill others.
712788984951275520	Muslims	Muslims are threatening
741991989437169664	white people	White people are racist.
905889099021778944	Jews	Jews are given special privilege
505900431374319616	White people	White people are racists
251068291668402178	non-believers	Non-believers aren't moral.
467357715489361920	white people	White people are privileged.
6424981541	Illegals	Illegals don't contribute to society.
704760851367137280	non-white people	non-white people are inferior
901428290967285761	Democrats	Democrats have destroyed white people and their identity
691092913791500288	non-white people	non-white people are oppressors
759399828950544384	Third world citizens	Third world citizens are substandard
470190657513226241	Minorities	Minorities kill whites
387802299823034368	Jews	Jews want white genocide
530940246717132800	Jewish people	Jewish people don't like white people.
914300680034226176	non-white people	non-white people are a threat
933541317140811776	non-white people	non-white people are less valuable
909907199962607616	minorities	minorities are inferior
916498628981661696	white people	white people rightfully own britian and america.
849709475267309568	black people	Black people are pimps
881592527358500870	Muslims	Muslims are violent.
904166738836594688	Minorities	Minorities are inferior
833539173999136768	Homossexuals	Homossexuals are perverted
896872298833092608	whites	anti-white terrorism
946860244763922432	Minorities	Minorities hold double standards for whites
945722152216494081	Minorities	Minorities are violent gang members.
534557612079980544	Minorities	Minorities are subpar races
789104850583687168	Muslims	Muslims are violent murderers
280870057591054337	Muslims	Muslims are terrorists
842413270803832832	Blacks	Blacks are annihilating white culture
925789891216265216	Minorities	Minorities are inferior.
664173405009256448	Minorities	Minorities are subpar races.
467361617370681345	Muslims	Muslims are stupid.
402474559539912704	People of color, immigrants	People of color, immigrants are invading Britain and beginning a race war
909093876283117569	Minorities	Minorities want to destroy white culture
395150316783411200	non-white immigrants	Non-white immigrants are racist.
745113670393335810	Indians	Indians are corrupt thieves.
535101716468101120	immigrants	immigrants are a threat to the country.
865982828982423553	Jews	Jews are liars.
945838823610523654	white people	White people are guilty.
898314171653029889	Neo Nazis and white supremacist	Neo Nazis and white Supremacists are terrorists
898677285787648000	Jews	Jews are always in other people's business.
705942652571639808	Muslims	Muslims are bigots
822048013740900352	black people	Black people kill more than white people.
789500754293817345	Jews	Jews advocate for an end to whites.
478926479037067265	white people	White people should be proud of their races.
835572046767730688	Arabs	Arabs are hypocrites
730128403454627840	Muslims	Muslims disrespect women
413537349654421504	Black people	Black people are unintelligent
334366573877936128	Jews	Jews are cowards
946402785548845056	non-white people	non-white people are selfish
900386408447266820	white people	White people are terrorists.
889564289895419904	Minorities	Minorities are subpar
907747339347128326	Blacks	Blacks degrade society
915760847569522689	Blacks	Blacks murder whites
876871830979710978	white men	white men are scared
927388454299639810	Jews	Jews are devious
596029017570058240	Blacks	Blacks are incapable of leadership
904117395047948288	Whites	Whites are weak and ineffective.
854187179182096386	Minorities	Minorities are ineffectual and unskilled.
930209757767577605	Minorities	Minorities are inferior races.
466307320839155713	Blacks	Blacks advocate for white slaughter
917787856546000896	white people	White people control blacks.
934252176846835712	black people	black people are racist.
553329200401117185	black people	Black people are thugs.
280731927948959744	Jewish people	Jewish people don't like white people.
696605821573189632	Hindus	Hindus are prejudiced
685152902147641344	Muslims	Muslims have a bad religion.
748632052766023681	Minorities	Minorities are subhuman
911034742694391808	Liberals	Liberals are substandard people
919278282809511936	Welsh people	Welsh people are not white.
847155891153653764	Immigrants	Immigrants want to displace natives
888978430347411456	whites	whites hide behind their social position
694430013727379456	Illegals	Illegals are vicious and brutal
760649783094632448	white people	White people don't like themselves.
798258747676168193	white people	white people are poor
931630736985153536	Jews	Jews are not white people
772899510456582144	Immigrants	Immigrants are inferior.
893815582566514688	non-white immigrants	Non-white immigrants should stay in their country.
927650750733447169	white people	White people are dangerous.
771184340021551106	Jews	Jews control the world
937096298007793666	black people	Black people work for the white man.
755000068860588033	Jews	Jews hate white people.
930254753216335873	immigrants	Immigrants shouldn't come into America.
770793092723146752	non-white people	non-white people are enemies
902195921215160321	white people	White people are evil.
944816115686965249	white people	White people are special.
665947172249169921	white people	White people are superior.
823243661374881793	white people	White people don't like diversity.
898434477822689280	Blacks	Blacks mislabel whites
904171768906002432	Black people	Black people have low IQ
916944251635752960	Whites and Blacks	Whites and Blacks are ignorant
854898380325007360	Mexicans	Mexicans are liars
854773684162220032	Whites	Whites are illegals also
914178483135315968	white women	white women hate blacks
915366937298980864	Minorities	Minorities are violent towards whites.
534499912659247105	Whites	Whites are racists
554806446593167360	Muslims	Muslims are hateful
863826638542393344	non-white people	non-white people are oppressors
852337720227758080	white people	White people don't care.
33029629384065024	black people	black people are dishonest.
877241048111697924	Black people	Black people are inferior
854996642034049024	Whites	Whites hate other races.
900842935025053696	white men	White men are murderers.
884779055308054528	Minorities	Minorities are hypocrites
920781695808360456	illegal aliens	Illegal aliens should be deported.
838080330938650625	Jews	Jews are not white
428590254962905088	Muslims	Muslims banishes Non-Muslims
845027114457837568	Jews	Jews are evil.
216984037414289409	Minorities	Minorities are substandard
900811859401601024	Blacks	Blacks are bigoted.
903344025142472704	Immigrants	Immigrants are destroying Europe
650528980878143488	Conservatives	Conservatives are greedy.
762331886102388736	Jews	Jews are dishonest.
676167160520142852	Jewish people	Jewish people are bad.
239795938170896384	white women	White women are superior to other raced women.
506186921337696257	anti-liberals	Anti-liberals are racists.
861253439413735424	non-whites	Non-whites don't like white people.
899260357859999744	non-whites	Non-whites want to kill white people.
744411980602105856	white people	White people are misunderstood.
807409047288758272	white people	White people are scared of other races.
918277644751290368	Indians	Indians are bad.
900423708854153218	Jews	Jews are lower than whites.
254298882723442689	white people	White people are racists.
251445001211486208	Muslims	Muslims want to kill non-believers.
944660191559192576	white people	White people are scared of black people.
229219655967965184	white people	White people are better than other races.
511145770784145408	Germans	Germans believe in Hitler.
909584941683441664	Conservative males	Conservative males are frail and delicate
816878968850812928	Blacks	Blacks are racists
799129674836111361	Conservatives	Conservatives are anti-minority.
707590799710691328	jewish people	jewish people leach off others
895246732681990144	Jews	Jews are devious
472068168458838016	white nationalists	White nationalists only care about white people.
515710681669070848	immigrants	Immigrants shouldn't be allowed into the country.
800483680032530432	Minorities	Minorities are less than whites
898010453925703680	Italians	Italians are prejudiced
916086951689773057	Minorities	Minorities are subpar
900437652356431872	Blacks	Blacks promote white self-hatred.
904352495010504704	Minorities	Minorities degrade whites
723887564633968640	Jews	Jews embellish their oppression
929859561850392576	Polish people	Polish people are low class
486180827240230912	Muslims	Muslims are liars
711493428325052416	Minorities	Minorities want to exterminate white culture
837312891485319169	Immigrants	Immigrants want to replace natives
660056875556282368	Intellectuals	Intellectuals pander to Muslims
788594008956231680	Whites	Whites are racist bigots.
946567020279189505	People of color	People of color are trying to take over traditionally white countries
904525102993244160	Black people	Black people are violent
889488682637561858	liberals	Liberals are sensitive.
925892081087844353	Minorities	Minorities are destroying white culture.
900696390791086081	white people	White people need to teach their kids their culture.
674799800513007616	Minorities	Minorities are substandard
896298253695811584	Antifa	Antifa carry weapons.
537406041244585984	white people	White people don't understand race.
921236628814757890	Immigrants	Immigrants want to displace natives
741299355009847296	Minorities	Minorities dismiss white's rights.
901479535173967877	Minorities	Minorities are substandard.
420356161783603200	whites	whites are superior
652158386193076224	Jews	Jews are not like white nationalists.
906022139962068992	Rohingyas	Rohingyas are violent aggressors
639447150422806528	white people	White people are hateful.
685312744736841729	non-white people	non-white people are dangerous
897130235707129857	Minorities	Minorities are barbarous and hostile
882301946253717505	whites	whites are racists
686456292513312768	Muslims	Muslims are violent
672276208919400448	Blacks	Blacks are targeting whites.
694272613535850496	Minorities	Minorities are stupid
900184478345293825	Leftists	Leftists support terrorism
944135073888133121	white liberals	white liberals are elitist
418195018370007040	Liberals	Liberals inherently don't like white people
371082316052852736	Blacks	Blacks degrade a society.
551455992693948416	Muslims	Muslims are evil
908722301440372737	Liberals and muslims	Liberals and muslims are sneaky and dishonest
847825975463346176	white people	White people deserve love.
557188088883994624	Minorities	Minorities are lower races.
849363301020696577	Immigrants	Immigrants are criminals
349936207200919553	White men	White men are bigots
288435973946228736	Black people	Black people abuse the system
925026985880977408	white people	White people are bigots.
910249362206334976	Minorities	Minorities are inferior people
902242839530151941	white folks	whites are privileged
900525209878491137	non-white people	non-white people are a threat
886163850864857088	Jews	Jews promote hatred against whites.
800884509625286656	White liberals	White liberals are weak-minded
825532331679158272	Whites	Whites are a societal problem.
761329824518533124	White Christians	White Christians are superior to other races.
758773233512349696	Muslims	Muslims are inferior to whites
926991927274364929	Minorities	Minorities are subpar compared to whites.
753938442661335040	Muslims	Muslims manipulate blacks
101271037374763010	Israel	Israel doesn't belong in the White House.
626746383102447617	blacks	blacks are oppressed
847890496156561408	Transracials	Transracials are abnormal
929915375839477761	Minorities	Minorities are second class citizens
945132880056827904	non-white people	non-white people are criminals
630034290194124800	Conservative males	Conservative males are effeminate and weak.
924277990439182337	Jews	Jews hate white people
301563521966145537	White	White people are hated by Obama
918289991234502656	Minorities	Minorities are beneath whites.
538828634492907520	Minorities	Minorities are lower than whites.
641281839303364608	white people	White people are conservatives.
513879338463555584	white people	White people should be saved.
916448107113705472	White people	White people are violent criminals
892483088495902722	white people	White people are the right race.
647765732290244608	Immigrants	Immigrants destroy society
904164084114792448	Minorities	Minorities are taking over.
222950375098040321	white women	White women are in danger.
744742579401539584	Muslims	Muslims are inferior
925258612246708224	Minorities	Minorities dismiss whites rights.
946314292227461120	Minorities	Minorities are lazy
691469678833696769	African immigrants	African immigrants are dangerous.
646411872762265600	Blacks	Blacks advocate violence
916277594517057536	Libertarians	Libertarians are stupid
883813971630804992	Muslims and liberals	Muslims and liberals want to conquer and destroy whites
924098623465455616	Minorities	Minorities are overrunning the white race.
901527606985539585	white people	White people and black people don't get along.
901343539665227777	Germans	Germans are dangerous.
917857817134030848	blacks	blacks are racist
906523508641071104	Whites	Whites destroy everything around them
913589627482705920	Conservatives	Conservatives hate whites
907544100307582976	Britains	Britains want to rule over others
585544898889285632	white people	White people are dying out.
854483146976448512	Antifa members	Antifa member are violent.
4502979305	immigrants	Immigrants commit crimes.
800885083074764802	white people	white people are being duped
390548143630458880	jews	anti-semitism
831167567435800576	white people	White people are superior.
930164959258046466	Whites	Whites are murderers
853388664210116609	Whites	Whites are violent
201045999056203777	Minorities	Minorities are substandard races
765728490629005312	black people	Black people hate white people.
900790150896156672	Republicans	Republicans are racist
469846259293884416	Muslims	Muslims are murderers
884087092850167808	Minorities	Minorities are subpar races
454711527745286144	Minorities	Minorities are subhuman
829157586255634433	white people	White people are racists.
925593017343512577	Black people	Black people use too many drugs
922549336470204416	non-white people	non-white people are inferior
928394009197850629	White Progressives	White Progressives hate the white race
228207550145900544	Minorities	Minorities are inferior to whites.
899655162381447168	non-white people	non-white people are inferior
154249382118699008	white people	white people are oppressed.
754814923696316416	Black Lives Matter	Black Lives Matter are a hate group.
921143664558166018	Whites	Whites are racists
336884860855648257	illegal aliens	Illegal aliens commit fraud.
809842305888911360	Jews	Jews are killers
691154383480946688	Muslims	Muslims have a need to control others.
900884557062393860	Immigrants	Immigrants are careless
844336749283364872	liberals	Liberals create problems.
924448920146776064	Conservative males	Conservative males are cowards
621430307040980992	Jews	Jews don't like white people.
703998851154186241	whites	whites are racist
892897124005945345	Minorities	Minorities mischaracterize whites
512966005388083201	Minorities	Minorities push white hatred
898964332591144960	non-white people	non-white people are not American
411226322908631040	Minorities	Minorities are subpar human beings
783765656403533824	Immigrants	Immigrants are rapists and murderers
293958792067043328	White folks	Whites are trash
912653139605577728	Jews	Jews are substandard
866722158143299585	Jews	Jews are the enemy
910207308679962625	Jews	Jews are devious
937151586190741504	Minorities	Minorities hate America
463340177511809024	Minorities	Minorities prey on whites
926557456733523973	Minorities	Minorities live like heathens.
188351754214191104	Jews	Jews are racist.
428597030395457536	Jewish people	Jewish people think they're being persecuted.
675838185239367680	Muslims	Muslims are domineering
889476192146870274	non-white people	non-white people are hateful
874043359177969666	Black people	Black people are violent and stupid
862669953748664323	Minorities	Minorities are manipulative liars.
862089527841746944	Illegals	Illegals think the law isn't for them.
857317495979593730	Minorities	Minorities are at war with whites.
681824566683947009	White people	White people think it's them against other races
767042218859175936	Jews	Jews are devious
934842177548464128	Minorities	Minorities are politically manipulative
901016139219816449	black people	Black people are violent.
690822469356138496	Conservative males	Conservative males are gullible.
735744916819574784	Minorities	Minorities are lower class of citizens
184348431093997568	Minorities	Minorities are inferior to whites
889390021236715521	Minorities	Minorities are inferior to whites
900813618190716928	whites	whites kill minorities
280473534332039168	Black people	Black people are crazy
848666353007419392	whites	whites should be extinquished
915086667345620994	Minorities	Minorities are taking over america
940707817018630144	White people	A white person should trust another white person.
836092129768198145	feminists	Feminists hate men.
864389060248391680	Jews	Jews are liars.
813619080548655104	non-white people	non-white people are threatening
611784257090908160	Jews	Jewish people are liars.
937152742404919296	non-white people	non-white people are oppressors
930895617588715520	Islamic people	Islamic people are killers.
900143573521354752	white people	White people are oppressed.
900121224856121345	Jews	Jews are white.
874221204093239296	white people	White people are dying out.
348896619602792448	Muslims	Muslims force their religion on others
897247293027561472	white people	white people are disposable
755956698083368961	africans	Africans don't like white people.
925727367926046720	white people	White people are terrorists.
792070082000216064	Muslim extremists	Muslim extremists are murderers.
833876482531266560	Social Democrats	Social Democrats are weak and effeminate
881967278480388096	Democrats	Democrats are racists.
881528628194009088	Blacks	Blacks need whites to lead them
905930022547996672	White people	White people are not allowed to fend for themselves
636990520968015872	black people	Black people kill white people.
842699350094630913	non-white people	non-white people are oppressors
872066392467570690	Jews	Jews want to take over the world.
813507559923548160	White people	White people are stupid
741736693770932224	Muslims	Muslims are racist.
572778104063696896	Jews	Jews are hated by muslims
838630822806638592	non-Jews	Non-Jews hate Jews.
614144651843489793	Jews	Jews are con men
825056168817025026	Minorities	Minorities are inferior
251413195300958208	Muslims	Muslims are hateful
900123631199543296	Blacks	Blacks blame others for their problems
838784467875442688	white people	White people hate immigrants.
228700241736646657	Muslims	Muslims hate gays
826562239406678022	Gays	Gays are abnormal.
595108192931041280	Whites	Whites are prejudiced
545895899549810688	Hindus	Hindus are violent.
901305083119497220	White people	White people are racists.
769560038700642304	Jewish people	Jewish people want to control white people
751530153906475008	Minorities	Minorities are against whites.
801289655736041472	Minorities	Minorities have no family values.
476137680275640320	Muslims	Muslims foster white destruction
901628435176579072	whites	whites are racists
262652216039583745	Blacks	Blacks are vicious and cruel
920413111852699649	Muslims	Muslims are racists.
847916804840280064	Minorities	Minorities are incompetent
524742875150839808	Blacks	Blacks are against Jews.
510158862507581440	old white people	Old white people are hateful.
835160211795013633	Whites	Whites are racists
340455615266705408	Blacks	Blacks target whites to prey on.
938516071782502401	Liberals	Liberals turn on their own kind.
892593152451858432	white people	White people build countries.
903441376129323009	Illegal immigrants	Illegal immigrants are third class races.
786586553246109696	white people	No one cares about white people.
900014775735771136	Black men	Black men are irresponsible
876653509503930368	Minorities	Minorities are subpar races
671156108317368321	white folks	whites are patriotic
924666669951344641	white people	White people are bad.
555357968930447360	Democrats	Democrats are all non-whites.
697355679913418752	Minorities	Minorities are given special consideration
849035751316742144	Minorities	Minorities are freeloaders that don't contribute.
866886717118304256	Minorities	Minorities are inferior.
271030342826205184	Gay people	Gay people are hateful.
633399840312033280	non-white people	non-white people are subversive
518492175701512192	Muslims	Muslims are against white people.
600274251132903424	Immigrants	Immigrants are ignorant
740182512811552768	Liberals	Liberals are hypocrites.
718124833381421056	Minorities	Minorities are taking over.
891424527242153984	Minorities	Minorities promote hatred towards whites.
360475492853350404	Jews	Jews are devious
842167289231237120	Illegals	Illegals get special considerations
485500795391967232	Muslims	Muslims are killers.
612742545848836096	Jews	Jews think they are useful.
899287646203256833	white people	White people are sinful.
892788714136625152	Muslims	Muslims hate Jews.
898885749805797377	white people	White people are turning into Nazis.
732781989326139393	Jewish people	Jewish people shouldn't be teachers or in positions of power over children
900801187737415680	Black people	Black people embellish their oppression
854737489013071873	Whites	Whites are bigoted and prejudiced.
825008618349027328	Democrats	Democrats oppress whites
902668934398259200	Immigrants	Immigrants shouldn't be in the country.
728709455651573760	Minorities	Minorities are inferior.
278381864270589952	Blacks	Blacks take advantage of the system.
613108585707474944	Politicians	Politicians are anti-white
900208088690675713	White people	White people are labeled racists unfairly
913875049765097475	immigrants	Immigrants cost the country.
462711520447979520	Liberals	Liberals want the white race to fall
736632249572003841	Blacks	Blacks are manipulative
935367884385214464	Liberals	Liberals are racist against whites.
717428316030906368	Alt-right	Alt-right are racist
374921968991993856	working class people	Working class people work harder than others.
932051796587053056	white people	White people are disadvantaged.
804704444747317248	Muslims	Muslims act superior to others.
332885217163485185	Germans	Germans kill Jews.
534443781471617025	white people	White people are in the KKK.
489784935889108992	Muslims	Muslims preach hatred of christians
561900971870412800	Minorities	Minorities are substandard races
508219467566837760	Black people	Black people are violent
946872174190776324	democrats	Democrats are stupid.
661461787015954432	Muslims	Muslims want the destruction of Jews.
330780384910524417	Minorities	Minorities rape and kill whites.
896321894839971840	white people	White people think they are better than other people.
912345681322528768	ethnomasochists	ethnomasochists are anti-white
899292442230501376	white people	White people should be protected.
751829019096674304	Blacks	Blacks do the bidding of jews
740252193052348416	Hispanics and indigenous	Hispanics and indigenous rely on white people economically
668335319721353216	white people	White people need to be protected.
285783919817809920	Blacks	Blacks are a substandard race.
930957374290120704	Blacks	Blacks are antagonistic and unruly.
745177800823320576	Black people	Black people are biologically inferior
22652504921	immigrants	Immigrants should be deported.
880869328220033026	Jews	Jews are not white
912465639079518209	brown people	Brown people don't like white people.
900632175812288513	Jews	Jews are liars.
426027151121719296	Whites	Whites are bigoted.
891406013995339776	Liberals	Liberals are stupid
382792268395978752	black people	Black people are killers.
465521527388000256	Minorities	Minorities are inferior
926650760229769216	non-white people	non-white people are inferior
668854524715646977	Immigrants	Immigrants don't trust Indians and should get out of India
756297738661335044	White people	White Americans are more European than Americans
873516468306145281	Minorities	Minorities cannot be trusted.
916014469360128001	Illegals	Illegals should go back to their country.
623300092003504129	Muslims	Muslims don't belong in the white house.
282187622430941184	Minorities	Minorities are a drag on society.
896731060758872064	Leftists and Blacks	Leftists and Blacks are inferior
402247257371598848	Muslims	Muslims are looking for power over whites.
917608703674736641	fatherless people	Fatherless people are criminals.
371269803056459778	Black	Black people shouldn't live in Estonia
941803514832887809	white people	White people don't want to live with black people.
932334456337297413	non-white people	non-white people are oppressors
343725951680659457	Africans	Africans don't like white people.
156408923883184128	Minorities	Minorities are killing off whites.
688064632544706561	Jews	Jews are conspirators
925684062890504192	Whites	Whites are prejudiced bigots.
895911417433341952	Blacks	Blacks are primitive
801486977430388742	non-white people	non-white people want to displace white people
901986300768784388	America	America is European.
861289419315261441	Minorities	Minorities are inferior
919625764559040512	Muslims	Whites are racist against Muslims
669280579083501576	Black people	Black people get arrested for no reason
935717438213287937	white people	White people are being oppressed.
942886856131301377	non-white people	non-white people are inferior
745108928162201601	Immigrants	Immigrants destroy society
584203938309787650	White people	White people are inferior
901684050267697152	whites	whites feel superior
501027774665359360	white people	White people think they are superior.
940745089835466758	White people	White people stick together against other races
714627557937655808	Jewish people	Jewish people control the media
735580824893001728	Mexicans	Mexicans are thugs.
903379370907230208	Minorities	Minorities are less than whites.
690400087491661824	Muslims	Muslims are inferior
895459894828048385	Arabs	Arabs are anti-jew
615548479000023040	Muslims	Muslims are prejudiced
906190124198891520	white people	white people are stupid.
751674411455877121	Minorities	Minorities destroy society
793846741854326784	Muslims	Muslims want to subject the world to Sharia Law
552990700896153601	Black people	Black people are violent
909517468535623680	Blacks	Blacks are violent
917574080412430336	Jews	Jews are anti-white.
918219613921579009	whites	whites are traitors to their race
896941676878364673	Whites	Whites are dangerous thugs.
764957746643005444	white nationalist	white nationalism is a conspiracy
935637087449178112	Muslims	Muslims are taught to murder
6701886421860352	muslims	Muslims are teaching their children violent ways and to hate Jewish people
849032432036618241	white people	White people aren't as important as black people.
732247848150925312	Blacks	Blacks are destroying the white race
863440108065890307	White conservatives	White conservatives are bigots.
221671349100359681	white folks	whites are racists
532746219689230336	nationalists	nationalists think other than white races should stay in their own countries.
691243008176570369	white people	White people are helped by Trump.
464471143630778368	white people	White people and Jews don't get along.
532759737402548224	Jewish people	Jewish people are anti-white and evil
888893975431712768	Black people	Black people are violent.
913828378473463808	white people	White people are special.
737477347440525312	People of color	People of color are getting rid of white people
917675268243783680	non-whites	Non-whites are destroying white neighborhoods.
817184078017548289	anti-whites	Anti-whites are hypocritical.
910925556367028224	Minorities	Minorities are substandard people
923907114187313154	Minorities	Minorities are against whites
893963862936080386	Minorities	Minorities fall below whites level.
904116738119278592	white people	White people are not diverse.
934104933179240454	Whites	Whites are racist.
205515524199809027	white people	White people are in danger.
689150465624244225	White conservatives	White conservative are weak and ineffectual.
900239405671211008	Minorities	Minorities are criminals
925045760227409920	Minorities	Minorities are lazy.
929505968186187776	White Supremacists	White supremacists are dishonest
847894468116307969	white women	White women are hateful.
730205104544980993	white people	White people should unite.
834154113264783360	Progressives	Progressives are manipulative
315261773840277504	Whites	Whites hide from the truth.
828255618041393152	white people	White people shouldn't feel good about themselves.
943132453702684672	Liberals	Liberals are perverted.
914385986553081856	Liberals	Liberals are racist and hurting the economy
889438864582029314	Whites	Whites are toxic.
933545615476383744	Blacks	Blacks are genetically inferior
857391449649930240	white people	White people are good.
841322789428703232	Minorities	Minorities are incompetent.
843998959517532161	Third world citizens	Third world citizens are stupid
673286447953145856	white people	White people should be proud of their race.
917746445876330496	black people	Black people use up taxes.
621571750526988289	Jews	Jews aren't white.
671789818754547712	Minorities	Minorities are trying to take over.
690453179234791424	Jews	Jews want to kill white people.
691410525893349376	Jews	Jews are dishonest
841729199157084160	Jews	Jews foster upheaval
939674857574424576	Liberals	Liberals are destroying the country
678409970451353600	non-white people	non-white people are dangerous
927312645568520192	White males	White males are violent
909704100916449280	police	police kill blacks
924431931344871424	White nationalists	White nationalists are superior
908813013490204672	Muslims	Muslims are at war with whites
552172482854387712	white people	white people are blamed.
758220591426052096	indian journalists	indian journalists are stupid and selfish
873030383389908993	Iranians	Iranians are terrorists.
605181814366306304	Minorities	Minorities are violent rapists.
508988222270357505	black people	Black people make white people uncomfortable.
847691803662798848	Minorities	Minorities are substandard races.
